game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases,source_games,source_reports_count,source_rows_merged,origin_classes,filter_statuses,filter_match_types
DOFUS,fr,1v1,1v1,tb_only,tb_filtered_base,True,,,True,False,False,False,1v1,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
WAKFU,fr,1ère,1ère,tb_only,tb_filtered_base,True,,,True,False,False,False,1ère,,,,,kept_neologism,,,,WAKFU,1,1,tb_only,kept_neologism,
DOFUS,fr,2X25,2x25,tb_only,tb_filtered_base,True,,,True,False,False,False,2X25,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
WAKFU,fr,2ème,2ème,tb_only,tb_filtered_base,True,,,True,False,False,False,2ème,,,,,kept_neologism,,,,WAKFU,1,1,tb_only,kept_neologism,
DOFUS,fr,3v3,3v3,tb_only,tb_filtered_base,True,,,True,False,False,False,3v3,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
WAKFU,fr,3ème,3ème,tb_only,tb_filtered_base,True,,,True,False,False,False,3ème,,,,,kept_neologism,,,,WAKFU,1,1,tb_only,kept_neologism,
ONE_MORE_GATE,fr,_x0003_,_x0003_,tb_only,tb_filtered_base,True,,,True,False,False,False,_x0003_,,,,,kept_neologism,,,,ONE_MORE_GATE,1,1,tb_only,kept_neologism,
WAKFU,fr,A'geuse,a'geuse,tb_only,tb_filtered_base,True,,,True,False,False,False,A'geuse,,,,,kept_neologism,,,,WAKFU,1,1,tb_only,kept_neologism,
WAKFU,fr,A'pide,a'pide,tb_only,tb_filtered_base,True,,,True,False,False,False,A'pide,,,,,kept_neologism,,,,WAKFU,1,1,tb_only,kept_neologism,
WAKFU,fr,a-changing,a-changing,tb_only,tb_filtered_base,True,,,True,False,False,False,a-changing,,,,,kept_neologism,,,,WAKFU,1,1,tb_only,kept_neologism,
DOFUS,fr,A-Gyō,a-gyō,tb_only,tb_filtered_base,True,,,True,False,False,False,A-Gyō,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
WAKFU,fr,A-Rikton,a-rikton,tb_only,tb_filtered_base,True,,,True,False,False,False,A-Rikton,,,,,kept_neologism,,,,WAKFU,1,1,tb_only,kept_neologism,
RETRO | TOUCH,fr,a-t-il,a-t-il,tb_only,tb_filtered_base,True,,,True,False,False,False,a-t-il,,,,,kept_neologism,,,,RETRO | TOUCH,2,2,tb_only,kept_neologism,
DOFUS,fr,A10,a10,tb_only,tb_filtered_base,True,,,True,False,False,False,A10,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,fr,A11,a11,tb_only,tb_filtered_base,True,,,True,False,False,False,A11,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,fr,A12,a12,tb_only,tb_filtered_base,True,,,True,False,False,False,A12,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,fr,A13,a13,tb_only,tb_filtered_base,True,,,True,False,False,False,A13,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
TOUCH,fr,A139E,a139e,tb_only,tb_filtered_base,True,,,True,False,False,False,A139E,,,,,kept_neologism,,,,TOUCH,1,1,tb_only,kept_neologism,
