token,token_lower,tb_key,status,match_type
10-Jahres-Turnier,10-jahres-turnier,map.name.113508865.name | map.name.113508868.name | map.name.113508871.name | map.name.113508874.name | map.name.113508877.name | map.name.113510401.name | map.name.113510404.name | map.name.113510407.name | map.name.113510410.name | map.name.113511937.name | map.name.113511940.name | map.name.113511943.name | map.name.113511946.name | map.name.127140353.name | map.name.127140356.name | map.name.127140359.name | map.name.127140362.name | map.name.127140365.name | map.name.127141889.name | map.name.127141892.name | map.name.127141895.name | map.name.127141898.name | map.name.127143425.name | map.name.127143428.name | map.name.127143431.name | map.name.127143434.name | map.name.127402497.name | map.name.127402500.name | map.name.127402503.name | map.name.127402506.name | map.name.127402509.name | map.name.127404033.name | map.name.127404036.name | map.name.127404039.name | map.name.127404042.name | map.name.127405569.name | map.name.127405572.name | map.name.127405575.name | map.name.127405578.name,kept_neologism,
110ers,110ers,object.1368.name,kept_neologism,
12er,12er,object.12938.name,kept_neologism,
14er,14er,object.12981.name,kept_neologism,
1v1,1v1,interactive.406.name | interactive.407.name | interactive.408.name | map.name.230162947.name | map.name.230162951.name | map.name.230162955.name | map.name.230162959.name | map.name.230163971.name | map.name.230163975.name | map.name.230163979.name | map.name.230163983.name | map.name.230164995.name | map.name.230164999.name | map.name.230165003.name | map.name.230165007.name | map.name.230166019.name | map.name.230166023.name | map.name.230166027.name | map.name.230166031.name | map.name.230167043.name | map.name.230167047.name | map.name.230167051.name | map.name.230167055.name | map.name.230168067.name | map.name.230168071.name | map.name.230168075.name | map.name.230169091.name | map.name.230169095.name | map.name.230169099.name | map.name.230170115.name | map.name.230170123.name | map.name.230171139.name | map.name.230171143.name | map.name.230171147.name | map.name.230172163.name | map.name.230172167.name | map.name.230172171.name | map.name.230173187.name | map.name.230173191.name | map.name.230173195.name | map.name.230174211.name | map.name.230174215.name | map.name.230174219.name | map.name.230175239.name | map.name.230175243.name | map.name.230176267.name | map.name.230425091.name | map.name.230425095.name | map.name.230425099.name | map.name.230425103.name | map.name.230426115.name | map.name.230426119.name | map.name.230426123.name | map.name.230426127.name | map.name.230427139.name | map.name.230427143.name | map.name.230427147.name | map.name.230427151.name | map.name.230428163.name | map.name.230428167.name | map.name.230428171.name | map.name.230428175.name | map.name.230429187.name | map.name.230429191.name | map.name.230429195.name | map.name.230429199.name | map.name.230430211.name | map.name.230430215.name | map.name.230430219.name | map.name.230431235.name | map.name.230431239.name | map.name.230431243.name | map.name.230432259.name | map.name.230432267.name | map.name.230433283.name | map.name.230433287.name | map.name.230433291.name | map.name.230434307.name | map.name.230434311.name | map.name.230434315.name | map.name.230435331.name | map.name.230435335.name | map.name.230435339.name | map.name.230436355.name | map.name.230436359.name | map.name.230436363.name | map.name.230437383.name | map.name.230437387.name | map.name.230438411.name | map.name.230687235.name | map.name.230687239.name | map.name.230687243.name | map.name.230687247.name | map.name.230688259.name | map.name.230688263.name | map.name.230688267.name | map.name.230688271.name | map.name.230689283.name | map.name.230689287.name | map.name.230689291.name | map.name.230689295.name | map.name.230690307.name | map.name.230690311.name | map.name.230690315.name | map.name.230690319.name | map.name.230691331.name | map.name.230691335.name | map.name.230691339.name | map.name.230691343.name | map.name.230692355.name | map.name.230692359.name | map.name.230692363.name | map.name.230693379.name | map.name.230693383.name | map.name.230693387.name | map.name.230694403.name | map.name.230694411.name | map.name.230695427.name | map.name.230695431.name | map.name.230695435.name | map.name.230696451.name | map.name.230696455.name | map.name.230696459.name | map.name.230697475.name | map.name.230697479.name | map.name.230697483.name | map.name.230698499.name | map.name.230698503.name | map.name.230698507.name | map.name.230699527.name | map.name.230699531.name | map.name.230700555.name,kept_neologism,
2-Nim-Samen,2-nim-samen,object.11140.name,kept_neologism,
2-in-1-Kwabumm,2-in-1-kwabumm,challenge.461.name,kept_neologism,
20-Jahre-Spiele,20-jahre-spiele,"achievement.category.166.name | alteration.category.53.name, world.subarea.1037.name",kept_neologism,
20-Jahre-Turnier,20-jahre-turnier,server.362.name,kept_neologism,
20-Jahre-Turniers,20-jahre-turniers,object.30960.name | title.464.female | title.464.male,kept_neologism,
