game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
RETRO,en,A-plundering,a-plundering,tb_only,tb_filtered_base,True,quest-step.495.name,quest-step:495,True,False,False,False,A-plundering,,,,,kept_neologism,,,
RETRO,en,Ab'ho,ab'ho,tb_only,tb_filtered_base,True,item.7123.name,item:7123,True,False,False,False,Ab'ho,,,,,kept_neologism,,,
RETRO,en,Abatz,abatz,tb_only,tb_filtered_base,True,item.7199.name,item:7199,True,False,False,False,Abatz,,,,,kept_neologism,,,
RETRO,en,Abebeh,abebeh,tb_only,tb_filtered_base,True,item.3744.name,item:3744,True,False,False,False,Abebeh,,,,,kept_neologism,,,
RETRO,en,Abefun,abefun,tb_only,tb_filtered_base,True,item.4017.name,item:4017,True,False,False,False,Abefun,,,,,kept_neologism,,,
RETRO,en,Abely,abely,tb_only,tb_filtered_base,True,npc.63.name,npc:63,True,False,False,False,Abely,,,,,kept_neologism,,,
RETRO,en,Abewolu,abewolu,tb_only,tb_filtered_base,True,item.5329.name,item:5329,True,False,False,False,Abewolu,,,,,kept_neologism,,,
RETRO,en,Abipaca,abipaca,tb_only,tb_filtered_base,True,item.5828.name,item:5828,True,False,False,False,Abipaca,,,,,kept_neologism,,,
RETRO,en,Abir,abir,tb_only,tb_filtered_base,True,npc.464.name,npc:464,True,False,False,False,Abir,,,,,kept_neologism,,,
RETRO,en,Ablaru,ablaru,tb_only,tb_filtered_base,True,npc.964.name,npc:964,True,False,False,False,Ablaru,,,,,kept_neologism,,,
RETRO,en,Abomirol,abomirol,tb_only,tb_filtered_base,True,item.3561.name,item:3561,True,False,False,False,Abomirol,,,,,kept_neologism,,,
RETRO,en,Aboub,aboub,tb_only,tb_filtered_base,True,item.15137.name | monster.353.name | monster.355.name | monster.384.name | ttg_entity.384.name,item:15137,True,False,False,False,Aboub,,,,,kept_neologism,,,
RETRO,en,Abounteous,abounteous,tb_only,tb_filtered_base,True,monster.2384.name,monster:2384,True,False,False,False,Abounteous,,,,,kept_neologism,,,
RETRO,en,Abrazelon,abrazelon,tb_only,tb_filtered_base,True,npc.497.name,npc:497,True,False,False,False,Abrazelon,,,,,kept_neologism,,,
RETRO,en,Acabague,acabague,tb_only,tb_filtered_base,True,item.4559.name,item:4559,True,False,False,False,Acabague,,,,,kept_neologism,,,
RETRO,en,Acaplut,acaplut,tb_only,tb_filtered_base,True,item.4664.name,item:4664,True,False,False,False,Acaplut,,,,,kept_neologism,,,
RETRO,en,Acebavec,acebavec,tb_only,tb_filtered_base,True,item.6109.name,item:6109,True,False,False,False,Acebavec,,,,,kept_neologism,,,
RETRO,en,Acebugu,acebugu,tb_only,tb_filtered_base,True,item.6234.name,item:6234,True,False,False,False,Acebugu,,,,,kept_neologism,,,
RETRO,en,Acehofa,acehofa,tb_only,tb_filtered_base,True,item.3675.name,item:3675,True,False,False,False,Acehofa,,,,,kept_neologism,,,
RETRO,en,Acero,acero,tb_only,tb_filtered_base,True,item.4952.name,item:4952,True,False,False,False,Acero,,,,,kept_neologism,,,
RETRO,en,Acidrik,acidrik,tb_only,tb_filtered_base,True,npc.729.name | quest-step.215.name | quest-step.216.name | quest-step.217.name | quest.127.name,npc:729,True,False,False,False,Acidrik,,,,,kept_neologism,,,
RETRO,en,Aclou,aclou,tb_only,tb_filtered_base,True,item.1399.name | item.766.name,item:1399,True,False,False,False,Aclou,,,,,kept_neologism,,,
RETRO,en,Acoca,acoca,tb_only,tb_filtered_base,True,item.5910.name,item:5910,True,False,False,False,Acoca,,,,,kept_neologism,,,
RETRO,en,Acofituf,acofituf,tb_only,tb_filtered_base,True,item.4662.name,item:4662,True,False,False,False,Acofituf,,,,,kept_neologism,,,
RETRO,en,Acoseude,acoseude,tb_only,tb_filtered_base,True,item.3854.name,item:3854,True,False,False,False,Acoseude,,,,,kept_neologism,,,
RETRO,en,Actio,actio,tb_only,tb_filtered_base,True,item.16002.name | item.16013.name | item.16024.name | item.16338.name | item.16339.name | item.16340.name,item:16002,True,False,False,False,Actio,,,,,kept_neologism,,,
RETRO,en,Acudob,acudob,tb_only,tb_filtered_base,True,item.5609.name,item:5609,True,False,False,False,Acudob,,,,,kept_neologism,,,
RETRO,en,Acugrau,acugrau,tb_only,tb_filtered_base,True,item.5372.name,item:5372,True,False,False,False,Acugrau,,,,,kept_neologism,,,
RETRO,en,Aculepa,aculepa,tb_only,tb_filtered_base,True,item.3885.name,item:3885,True,False,False,False,Aculepa,,,,,kept_neologism,,,
RETRO,en,Adaga,adaga,tb_only,tb_filtered_base,True,item.4962.name,item:4962,True,False,False,False,Adaga,,,,,kept_neologism,,,
RETRO,en,Adageola,adageola,tb_only,tb_filtered_base,True,item.6151.name,item:6151,True,False,False,False,Adageola,,,,,kept_neologism,,,
RETRO,en,Adamu,adamu,tb_only,tb_filtered_base,True,item.3867.name,item:3867,True,False,False,False,Adamu,,,,,kept_neologism,,,
RETRO,en,Adaumu,adaumu,tb_only,tb_filtered_base,True,item.2941.name,item:2941,True,False,False,False,Adaumu,,,,,kept_neologism,,,
RETRO,en,Adelus,adelus,tb_only,tb_filtered_base,True,item.1487.name,item:1487,True,False,False,False,Adelus,,,,,kept_neologism,,,
RETRO,en,Adepouille,adepouille,tb_only,tb_filtered_base,True,item.2742.name,item:2742,True,False,False,False,Adepouille,,,,,kept_neologism,,,
RETRO,en,Adili,adili,tb_only,tb_filtered_base,True,item.3275.name,item:3275,True,False,False,False,Adili,,,,,kept_neologism,,,
RETRO,en,Adin,adin,tb_only,tb_filtered_base,True,item.7218.name,item:7218,True,False,False,False,Adin,,,,,kept_neologism,,,
RETRO,en,Adode,adode,tb_only,tb_filtered_base,True,item.2933.name,item:2933,True,False,False,False,Adode,,,,,kept_neologism,,,
RETRO,en,Adonop,adonop,tb_only,tb_filtered_base,True,item.3622.name,item:3622,True,False,False,False,Adonop,,,,,kept_neologism,,,
RETRO,en,Adossia,adossia,tb_only,tb_filtered_base,True,item.8649.name,item:8649,True,False,False,False,Adossia,,,,,kept_neologism,,,
RETRO,en,Adydele,adydele,tb_only,tb_filtered_base,True,item.5475.name,item:5475,True,False,False,False,Adydele,,,,,kept_neologism,,,
RETRO,en,Aegefauc,aegefauc,tb_only,tb_filtered_base,True,item.4946.name,item:4946,True,False,False,False,Aegefauc,,,,,kept_neologism,,,
RETRO,en,Aegishield,aegishield,tb_only,tb_filtered_base,True,item.11757.name,item:11757,True,False,False,False,Aegishield,,,,,kept_neologism,,,
RETRO,en,Aekawaul,aekawaul,tb_only,tb_filtered_base,True,item.5758.name,item:5758,True,False,False,False,Aekawaul,,,,,kept_neologism,,,
RETRO,en,Aelab,aelab,tb_only,tb_filtered_base,True,item.3166.name,item:3166,True,False,False,False,Aelab,,,,,kept_neologism,,,
RETRO,en,Aeladague,aeladague,tb_only,tb_filtered_base,True,item.3835.name,item:3835,True,False,False,False,Aeladague,,,,,kept_neologism,,,
RETRO,en,Aelefoma,aelefoma,tb_only,tb_filtered_base,True,item.3717.name,item:3717,True,False,False,False,Aelefoma,,,,,kept_neologism,,,
RETRO,en,Aelelae,aelelae,tb_only,tb_filtered_base,True,item.3592.name,item:3592,True,False,False,False,Aelelae,,,,,kept_neologism,,,
RETRO,en,Aelelydae,aelelydae,tb_only,tb_filtered_base,True,item.6340.name,item:6340,True,False,False,False,Aelelydae,,,,,kept_neologism,,,
RETRO,en,Aelewawac,aelewawac,tb_only,tb_filtered_base,True,item.3177.name,item:3177,True,False,False,False,Aelewawac,,,,,kept_neologism,,,
RETRO,en,Aelilotte,aelilotte,tb_only,tb_filtered_base,True,item.5287.name,item:5287,True,False,False,False,Aelilotte,,,,,kept_neologism,,,
RETRO,en,Aelomul,aelomul,tb_only,tb_filtered_base,True,item.4897.name,item:4897,True,False,False,False,Aelomul,,,,,kept_neologism,,,
RETRO,en,Aelowawe,aelowawe,tb_only,tb_filtered_base,True,item.3189.name,item:3189,True,False,False,False,Aelowawe,,,,,kept_neologism,,,
RETRO,en,Aelowiw,aelowiw,tb_only,tb_filtered_base,True,item.5579.name,item:5579,True,False,False,False,Aelowiw,,,,,kept_neologism,,,
RETRO,en,Aeloworau,aeloworau,tb_only,tb_filtered_base,True,item.5304.name,item:5304,True,False,False,False,Aeloworau,,,,,kept_neologism,,,
RETRO,en,Aelulae,aelulae,tb_only,tb_filtered_base,True,item.5777.name,item:5777,True,False,False,False,Aelulae,,,,,kept_neologism,,,
RETRO,en,Aelusato,aelusato,tb_only,tb_filtered_base,True,item.5674.name,item:5674,True,False,False,False,Aelusato,,,,,kept_neologism,,,
RETRO,en,Aelyake,aelyake,tb_only,tb_filtered_base,True,item.3122.name,item:3122,True,False,False,False,Aelyake,,,,,kept_neologism,,,
RETRO,en,Aenon,aenon,tb_only,tb_filtered_base,True,item.4493.name,item:4493,True,False,False,False,Aenon,,,,,kept_neologism,,,
