token,token_lower,tb_key,status,match_type
112xSpritzstock,112xspritzstock,object.1368.name,kept_neologism,
12er,12er,object.12938.name,kept_neologism,
14er,14er,object.12981.name,kept_neologism,
2-Nim-Samen,2-nim-samen,object.11140.name,kept_neologism,
33Z,33z,quest.86.name,kept_neologism,
66er,66er,object.8652.name,kept_neologism,
74er,74er,object.2079.name,kept_neologism,
A-Ring,a-ring,,removed_known_word,compound_word
A-Touristik-Team,a-touristik-team,,removed_known_word,compound_word
A-Touristik-Teams,a-touristik-teams,,removed_known_word,compound_word
A139E,a139e,object.19352.name,kept_neologism,
AFT,aft,document.479.title,kept_neologism,
AUFSTIEG,aufstieg,,removed_known_word,dictionary_form
Aahde,aahde,"achievement.objective.1786.name, achievement.objective.1223.name, achievement.objective.236.name, achievement.objective.1784.name | achievement.objective.2120.name, achievement.682.name | achievement.objective.2121.name, achievement.683.name | achievement.objective.2122.name, achievement.502.name | challenge.145.name | challenge.146.name | challenge.97.name | monster.2960.name | object.11977.name | object.11979.name | object.11982.name | object.11983.name | object.15589.name | object.set.194.name",kept_neologism,
Aalglatt,aalglatt,,removed_known_word,dictionary_form
Aazimar,aazimar,npc.1967.name | quest.1247.name,kept_neologism,
Abba,abba,taxcollector.firstname.65.value,kept_neologism,
Abbauen,abbauen,,removed_known_word,dictionary_form
Abbauregister,abbauregister,,removed_known_word,compound_word
Abbs,abbs,object.13261.name | object.18967.name,kept_neologism,
Abdichters,abdichters,object.12512.name,kept_neologism,
Abdichtung,abdichtung,,removed_known_word,dictionary_form
Abdomenschlag,abdomenschlag,spell.7470.name,kept_neologism,
Abdominanz,abdominanz,spell.3492.name,kept_neologism,
Abdul,abdul,object.1372.name,kept_neologism,
Abebeh,abebeh,object.3744.name,kept_neologism,
Abefun,abefun,object.4017.name,kept_neologism,
Abel,abel,,removed_known_word,dictionary_form
Abend,abend,,removed_known_word,dictionary_form
Abendlichtes,abendlichtes,,removed_known_word,compound_word
Abends,abends,,removed_known_word,dictionary_form
Abendstern,abendstern,,removed_known_word,compound_word
Abendtau,abendtau,,removed_known_word,compound_word
Abenteuer,abenteuer,,removed_known_word,dictionary_form
Abenteuer-Erde,abenteuer-erde,,removed_known_word,compound_word
Abenteuerland,abenteuerland,,removed_known_word,compound_word
Abenteuerlich,abenteuerlich,,removed_known_word,dictionary_form
Abenteurer,abenteurer,,removed_known_word,dictionary_form
Abenteurer-Fleisch,abenteurer-fleisch,,removed_known_word,compound_word
Abenteurer-Schädel,abenteurer-schädel,,removed_known_word,compound_word
Abenteurer-Set,abenteurer-set,,removed_known_word,compound_word
Abenteurerin,abenteurerin,,removed_known_word,dictionary_form
Abenteurers,abenteurers,,removed_known_word,dictionary_form
Abenteurothek,abenteurothek,map.name.116130305.name,kept_neologism,
Aber,aber,,removed_known_word,dictionary_form
Aberschreckliche,aberschreckliche,spell.2519.name,kept_neologism,
Abewolu,abewolu,object.5329.name,kept_neologism,
Abfähl-Muschel,abfähl-muschel,"skill.action.290.name, skill.action.277.name, skill.action.283.name",kept_neologism,
Abfähl-Muscheln,abfähl-muscheln,object.12474.name,kept_neologism,
Abgebrühter,abgebrühter,,removed_known_word,dictionary_form
Abgefahrener,abgefahrener,,removed_known_word,dictionary_form
Abgefüllter,abgefüllter,,removed_known_word,dictionary_form
Abgekühlter,abgekühlter,,removed_known_word,dictionary_form
Abgenutzte,abgenutzte,,removed_known_word,dictionary_form
Abgenutzter,abgenutzter,,removed_known_word,dictionary_form
Abgenutztes,abgenutztes,,removed_known_word,dictionary_form
Abgerichteter,abgerichteter,,removed_known_word,dictionary_form
Abgesandter,abgesandter,,removed_known_word,dictionary_form
Abgeschnittene,abgeschnittene,,removed_known_word,dictionary_form
Abgesicherter,abgesicherter,,removed_known_word,dictionary_form
Abgestumpft,abgestumpft,,removed_known_word,dictionary_form
Abgesägte,abgesägte,,removed_known_word,dictionary_form
Abgewetzter,abgewetzter,,removed_known_word,dictionary_form
Abgobschoss,abgobschoss,npc.2165.name,kept_neologism,
Abgrunds,abgrunds,,removed_known_word,dictionary_form
Abgrundtiefer,abgrundtiefer,,removed_known_word,dictionary_form
Abgründe,abgründe,,removed_known_word,dictionary_form
Abgründige,abgründige,,removed_known_word,dictionary_form
Abgründiges,abgründiges,,removed_known_word,dictionary_form
Abhandlung,abhandlung,,removed_known_word,dictionary_form
Abhau,abhau,object.1372.name,kept_neologism,
Abheben,abheben,,removed_known_word,dictionary_form
Abhebens,abhebens,,removed_known_word,dictionary_form
Abian-Set,abian-set,object.set.202.name,kept_neologism,
Abians,abians,object.12038.name | object.12039.name | object.12040.name | object.12041.name | object.12479.name | object.12480.name | object.12481.name | object.12482.name,kept_neologism,
Abinden,abinden,state.93.name,kept_neologism,
Abipaca,abipaca,object.5828.name,kept_neologism,
Abkratzhammer,abkratzhammer,object.222.name,kept_neologism,
Abkömmlinge,abkömmlinge,,removed_known_word,dictionary_form
Ablaru,ablaru,npc.964.name,kept_neologism,
Ableben,ableben,,removed_known_word,dictionary_form
Ableger,ableger,,removed_known_word,dictionary_form
Abmetzeln,abmetzeln,spell.2313.name,kept_neologism,
Abmurksen,abmurksen,,removed_known_word,dictionary_form
Abmähen,abmähen,,removed_known_word,dictionary_form
Abomirol,abomirol,object.3561.name,kept_neologism,
Aboub,aboub,monster.384.name,kept_neologism,
Aboubytrap,aboubytrap,monster.2384.name,kept_neologism,
Abprallen,abprallen,,removed_known_word,dictionary_form
Abpwallen,abpwallen,spell.3793.name,kept_neologism,
Abra,abra,npc.794.name,kept_neologism,
Abrakadabra,abrakadabra,,removed_known_word,dictionary_form
Abrazelor,abrazelor,npc.497.name,kept_neologism,
Abreafuxen,abreafuxen,"spell.9921.name, spell.5404.name, spell.9625.name",kept_neologism,
Abrechnung,abrechnung,,removed_known_word,dictionary_form
Abreibung,abreibung,,removed_known_word,dictionary_form
Abräumer,abräumer,monster.2425.name,kept_neologism,
Absaugen,absaugen,,removed_known_word,dictionary_form
Absaugstoßung,absaugstoßung,spell.7645.name,kept_neologism,
Abschaffung,abschaffung,,removed_known_word,dictionary_form
Abscheu,abscheu,,removed_known_word,dictionary_form
Abscheulich,abscheulich,,removed_known_word,dictionary_form
Abscheuliche,abscheuliche,,removed_known_word,dictionary_form
Abscheulichkeit,abscheulichkeit,,removed_known_word,dictionary_form
Abschied,abschied,,removed_known_word,dictionary_form
Abschiedstournee,abschiedstournee,,removed_known_word,compound_word
Abschließende,abschließende,,removed_known_word,dictionary_form
Abschließenden,abschließenden,,removed_known_word,dictionary_form
