game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
TOUCH,de,112xSpritzstock,112xspritzstock,tb_only,tb_filtered_base,True,object.1368.name,object:1368,True,False,False,False,112xSpritzstock,S,S,,,kept_neologism,,,
TOUCH,de,12er,12er,tb_only,tb_filtered_base,True,object.12938.name,object:12938,True,False,False,False,12er,S,S,,,kept_neologism,,,
TOUCH,de,14er,14er,tb_only,tb_filtered_base,True,object.12981.name,object:12981,True,False,False,False,14er,S,S,,,kept_neologism,,,
TOUCH,de,2-Nim-Samen,2-nim-samen,tb_only,tb_filtered_base,True,object.11140.name,object:11140,True,False,False,False,2-Nim-Samen,S,S,,,kept_neologism,,,
TOUCH,de,33Z,33z,tb_only,tb_filtered_base,True,quest.86.name,quest:86,True,False,False,False,33Z,S,S,,,kept_neologism,,,
TOUCH,de,66er,66er,tb_only,tb_filtered_base,True,object.8652.name,object:8652,True,False,False,False,66er,S,S,,,kept_neologism,,,
TOUCH,de,74er,74er,tb_only,tb_filtered_base,True,object.2079.name,object:2079,True,False,False,False,74er,S,S,,,kept_neologism,,,
TOUCH,de,A139E,a139e,tb_only,tb_filtered_base,True,object.19352.name,object:19352,True,False,False,False,A139E,S,S,,,kept_neologism,,,
TOUCH,de,Aahde,aahde,tb_only,tb_filtered_base,True,"achievement.objective.1786.name, achievement.objective.1223.name, achievement.objective.236.name, achievement.objective.1784.name | achievement.objective.2120.name, achievement.682.name | achievement.objective.2121.name, achievement.683.name | achievement.objective.2122.name, achievement.502.name | challenge.145.name | challenge.146.name | challenge.97.name | monster.2960.name | object.11977.name | object.11979.name | object.11982.name | object.11983.name | object.15589.name | object.set.194.name",achievement:objective,True,False,False,False,Aahde,S,S,,,kept_neologism,,,
TOUCH,de,Aazimar,aazimar,tb_only,tb_filtered_base,True,npc.1967.name | quest.1247.name,npc:1967,True,False,False,False,Aazimar,S,S,,,kept_neologism,,,
TOUCH,de,Abba,abba,tb_only,tb_filtered_base,True,taxcollector.firstname.65.value,taxcollector:firstname,True,False,False,False,Abba,S,S,,,kept_neologism,,,
TOUCH,de,Abbs,abbs,tb_only,tb_filtered_base,True,object.13261.name | object.18967.name,object:13261,True,False,False,False,Abbs,S,S,,,kept_neologism,,,
TOUCH,de,Abdichters,abdichters,tb_only,tb_filtered_base,True,object.12512.name,object:12512,True,False,False,False,Abdichters,S,S,,,kept_neologism,,,
TOUCH,de,Abdomenschlag,abdomenschlag,tb_only,tb_filtered_base,True,spell.7470.name,spell:7470,True,False,False,False,Abdomenschlag,S,S,,,kept_neologism,,,
TOUCH,de,Abdominanz,abdominanz,tb_only,tb_filtered_base,True,spell.3492.name,spell:3492,True,False,False,False,Abdominanz,S,S,,,kept_neologism,,,
TOUCH,de,Abdul,abdul,tb_only,tb_filtered_base,True,object.1372.name,object:1372,True,False,False,False,Abdul,S,S,,,kept_neologism,,,
TOUCH,de,Abebeh,abebeh,tb_only,tb_filtered_base,True,object.3744.name,object:3744,True,False,False,False,Abebeh,S,S,,,kept_neologism,,,
