token,token_lower,tb_key,status,match_type
15th,15th,object.18855.name,kept_neologism,
5th,5th,,removed_known_word,dictionary_form
6th,6th,,removed_known_word,dictionary_form
7th,7th,,removed_known_word,dictionary_form
8th,8th,,removed_known_word,dictionary_form
A'uld,a'uld,npc.2309.name,kept_neologism,
A-Beating,a-beating,document.180.title | object.11998.name,kept_neologism,
A139E,a139e,object.19352.name,kept_neologism,
AFT,aft,,removed_known_word,dictionary_form
ANNOUNCEMENT,announcement,,removed_known_word,dictionary_form
ASCENSION,ascension,,removed_known_word,dictionary_form
ATTN,attn,document.506.title,kept_neologism,
Aazimar,aazimar,npc.1967.name | quest.1247.name,kept_neologism,
Ab'ho,ab'ho,object.7123.name,kept_neologism,
Abacus,abacus,,removed_known_word,dictionary_form
Abandoned,abandoned,,removed_known_word,dictionary_form
Abandonment,abandonment,,removed_known_word,dictionary_form
Abatz,abatz,object.7199.name,kept_neologism,
Abdominable,abdominable,object.12775.name,kept_neologism,
Abdominance,abdominance,spell.7470.name,kept_neologism,
Abdomination,abdomination,spell.3492.name,kept_neologism,
Abebeh,abebeh,object.3744.name,kept_neologism,
Abefun,abefun,object.4017.name,kept_neologism,
Abely,abely,npc.63.name,kept_neologism,
Abewolu,abewolu,object.5329.name,kept_neologism,
Ability,ability,,removed_known_word,dictionary_form
Abipaca,abipaca,object.5828.name,kept_neologism,
Abir,abir,npc.464.name,kept_neologism,
Ablaru,ablaru,npc.964.name,kept_neologism,
Abnegation,abnegation,,removed_known_word,dictionary_form
Abode,abode,,removed_known_word,dictionary_form
Abolition,abolition,,removed_known_word,dictionary_form
Abominable,abominable,,removed_known_word,dictionary_form
Abomination,abomination,,removed_known_word,dictionary_form
Abominorrible,abominorrible,object.21907.name,kept_neologism,
Abomirol,abomirol,object.3561.name,kept_neologism,
Aboub,aboub,monster.384.name,kept_neologism,
Aboum,aboum,"achievement.objective.4071.name | achievement.objective.4423.name, achievement.1379.name, npc.4327.name, achievement.objective.4267.name | npc.1422.name | object.20201.name",kept_neologism,
Abounteous,abounteous,monster.2384.name,kept_neologism,
About,about,,removed_known_word,dictionary_form
Above,above,,removed_known_word,dictionary_form
Abrasive,abrasive,,removed_known_word,dictionary_form
Abrazelon,abrazelon,npc.497.name,kept_neologism,
Absaurbo,absaurbo,monster.3184.name | object.12566.name,kept_neologism,
Absinthe,absinthe,,removed_known_word,dictionary_form
Absolute,absolute,,removed_known_word,dictionary_form
Absoluti,absoluti,object.16196.name,kept_neologism,
Absolution,absolution,,removed_known_word,dictionary_form
Absorbant,absorbant,spell.3582.name,kept_neologism,
Absorption,absorption,,removed_known_word,dictionary_form
Absorptive,absorptive,,removed_known_word,dictionary_form
Abul,abul,taxcollector.firstname.65.value,kept_neologism,
Abulus,abulus,npc.3870.name,kept_neologism,
Abundance,abundance,,removed_known_word,dictionary_form
Abyrinth,abyrinth,npc.4733.name,kept_neologism,
Abyss,abyss,,removed_known_word,dictionary_form
Abyssal,abyssal,,removed_known_word,dictionary_form
Abysses,abysses,,removed_known_word,dictionary_form
Accelerated,accelerated,,removed_known_word,dictionary_form
Acceleration,acceleration,,removed_known_word,dictionary_form
Accelero-Intellecto,accelero-intellecto,object.15778.name,kept_neologism,
Accepted,accepted,,removed_known_word,dictionary_form
Access,access,,removed_known_word,dictionary_form
Accident,accident,,removed_known_word,dictionary_form
Accio,accio,"object.12474.name | skill.action.290.name, skill.action.277.name, skill.action.283.name",kept_neologism,
According,according,,removed_known_word,dictionary_form
Accursed,accursed,,removed_known_word,dictionary_form
Ace,ace,,removed_known_word,dictionary_form
Acebavec,acebavec,object.6109.name,kept_neologism,
Acebugu,acebugu,object.6234.name,kept_neologism,
Acehofa,acehofa,object.3675.name,kept_neologism,
Acerbic,acerbic,,removed_known_word,dictionary_form
Acero,acero,object.4952.name,kept_neologism,
Aces,aces,,removed_known_word,dictionary_form
Achilles,achilles,,removed_known_word,dictionary_form
Achoo,achoo,"npc.2268.name, object.15309.name",kept_neologism,
Acid,acid,,removed_known_word,dictionary_form
Acidic,acidic,,removed_known_word,dictionary_form
Acidrik,acidrik,"achievement.objective.1474.name | document.105.author, document.275.author, document.103.author, document.113.author, document.104.author, document.108.author, document.107.author, document.106.author, document.110.author, document.276.author, document.90.author, document.109.author, document.102.author, document.125.author | document.124.author | npc.729.name",kept_neologism,
Aclou,aclou,object.1399.name | object.766.name,kept_neologism,
Acoca,acoca,object.5910.name,kept_neologism,
Acolyte,acolyte,,removed_known_word,dictionary_form
Acorn,acorn,,removed_known_word,dictionary_form
Acorns,acorns,,removed_known_word,dictionary_form
Acorntastic,acorntastic,object.14401.name | object.14416.name | spell.3734.name,kept_neologism,
Acoseude,acoseude,object.3854.name,kept_neologism,
Acquainted,acquainted,,removed_known_word,dictionary_form
Acquisition,acquisition,,removed_known_word,dictionary_form
Acrobat,acrobat,,removed_known_word,dictionary_form
Acrobatics,acrobatics,,removed_known_word,dictionary_form
Across,across,,removed_known_word,dictionary_form
Act,act,,removed_known_word,dictionary_form
Action,action,,removed_known_word,dictionary_form
Activate,activate,,removed_known_word,dictionary_form
Activation,activation,,removed_known_word,dictionary_form
Active,active,,removed_known_word,dictionary_form
Activities,activities,,removed_known_word,dictionary_form
Acudob,acudob,object.5609.name,kept_neologism,
Acugrau,acugrau,object.5372.name,kept_neologism,
Aculepa,aculepa,object.3885.name,kept_neologism,
Acute,acute,,removed_known_word,dictionary_form
Acuteness,acuteness,,removed_known_word,dictionary_form
Ada,ada,,removed_known_word,dictionary_form
Adaga,adaga,object.4962.name,kept_neologism,
Adageola,adageola,object.6151.name,kept_neologism,
Adalminger,adalminger,npc.3878.name,kept_neologism,
