token,token_lower,tb_key,status,match_type
2d10,2d10,object.13252.name,kept_neologism,
A139E,a139e,object.19352.name,kept_neologism,
ADC,adc,object.12534.name | object.12535.name | object.12536.name | object.12537.name | object.12539.name,kept_neologism,
ANIRIPSA,aniripsa,"achievement.76.name, spelltype.253.title, monster.4371.name, monster.166.name, spelltype.294.title, achievement.objective.311.name, monster.961.name | achievement.objective.370.name, achievement.141.name | breed.7.longName | document.215.title | document.232.title | document.282.title | hint.2809.name | hint.2953.name | map.name.119538694.name | map.name.119538696.name | map.name.121504780.name | map.name.121504782.name | map.name.121504784.name | map.name.17042434.name, map.name.17042436.name, map.name.17042438.name, map.name.17042440.name, map.name.17042432.name | monster.2651.name | monster.race.169.name, spelltype.219.title | npc.1119.name | npc.2696.name | npc.2698.name | npc.3856.name | object.10210.name | object.10291.name | object.10304.name | object.12167.name | object.12367.name | object.15596.name | object.18549.name | object.18551.name | object.18553.name | object.18814.name | object.18926.name | object.18928.name | object.2220.name | object.2239.name | object.6611.name | object.9048.name | object.9083.name | quest.4610.name | quest.462.name | spell.7159.name | spelltype.218.title | spelltype.606.title, breed.7.shortName, monster.4190.name | spelltype.7.title | title.175.male, title.175.female",kept_neologism,
ANUNCIO,anuncio,,removed_known_word,dictionary_form
ANUTROF,anutrof,"achievement.77.name, spelltype.295.title, monster.957.name, spelltype.255.title, achievement.objective.312.name, monster.4373.name, monster.162.name | achievement.objective.371.name, achievement.142.name | breed.3.longName | document.216.title | document.236.title | document.289.title | hint.2814.name | hint.2954.name | map.name.17048582.name, map.name.17048576.name, map.name.17048578.name, map.name.17048577.name, map.name.17048580.name | map.name.17048584.name | npc.1230.name | npc.3870.name | object.10217.name | object.10292.name | object.10305.name | object.12168.name | object.12366.name | object.1498.name | object.15597.name | object.18656.name | object.18658.name | object.18660.name | object.18816.name | object.18930.name | object.18932.name | object.2222.name | object.6612.name | object.9047.name | object.9079.name | quest.4624.name | quest.464.name | spell.7161.name | spelltype.3.title | spelltype.354.title | spelltype.594.title, breed.3.shortName, monster.4245.name | title.180.female, title.180.male",kept_neologism,
ASCENSIÓN,ascensión,,removed_known_word,dictionary_form
ATF,atf,document.479.title,kept_neologism,
ATMET,atmet,npc.1474.name | npc.1475.name | npc.1476.name | npc.1477.name | npc.1478.name,kept_neologism,
Aazimar,aazimar,npc.1967.name | quest.1247.name,kept_neologism,
Abandono,abandono,,removed_known_word,dictionary_form
Abanico,abanico,,removed_known_word,dictionary_form
Abanicos,abanicos,,removed_known_word,dictionary_form
Abayar,abayar,spell.1989.name,kept_neologism,
Abdomimpacto,abdomimpacto,spell.7470.name,kept_neologism,
Abdominación,abdominación,spell.3492.name,kept_neologism,
Abdominal,abdominal,,removed_known_word,dictionary_form
Abebeh,abebeh,object.3744.name,kept_neologism,
Abefun,abefun,object.4017.name,kept_neologism,
Abejorros,abejorros,,removed_known_word,dictionary_form
Abel,abel,,removed_known_word,dictionary_form
Abella,abella,"achievement.objective.4155.name | achievement.objective.4391.name, npc.4367.name, achievement.1421.name, achievement.objective.4309.name | object.20159.name",kept_neologism,
Abellotamiento,abellotamiento,spell.5028.name,kept_neologism,
Abewolu,abewolu,object.5329.name,kept_neologism,
Abiertas,abiertas,,removed_known_word,dictionary_form
Abipaca,abipaca,object.5828.name,kept_neologism,
Abir,abir,npc.464.name,kept_neologism,
Abisal,abisal,,removed_known_word,dictionary_form
Abismos,abismos,,removed_known_word,dictionary_form
Ablación,ablación,,removed_known_word,dictionary_form
Ablandón,ablandón,spell.2248.name,kept_neologism,
Able,able,monster.3171.name | npc.1471.name,kept_neologism,
Abnegación,abnegación,,removed_known_word,dictionary_form
Abneguación,abneguación,spell.5306.name,kept_neologism,
Abobos,abobos,spell.8267.name | spell.8269.name,kept_neologism,
Abolición,abolición,,removed_known_word,dictionary_form
Abominable,abominable,,removed_known_word,dictionary_form
Abominación,abominación,,removed_known_word,dictionary_form
Abominap,abominap,spell.2197.name,kept_neologism,
Abomirol,abomirol,object.3561.name,kept_neologism,
Abono,abono,,removed_known_word,dictionary_form
Abordaje,abordaje,,removed_known_word,dictionary_form
Abote,abote,"npc.2033.name, object.14181.name",kept_neologism,
Abra,abra,,removed_known_word,dictionary_form
Abrabotas,abrabotas,object.2423.name,kept_neologism,
Abracadabra,abracadabra,,removed_known_word,dictionary_form
Abracapa,abracapa,object.948.name,kept_neologism,
Abracaska,abracaska,object.2410.name | object.8463.name,kept_neologism,
Abracinto,abracinto,object.2429.name,kept_neologism,
Abraham,abraham,interactive.215.name | npc.1995.name,kept_neologism,
Abrajidor,abrajidor,"achievement.objective.441.name, monster.1077.name | monster.1047.name, monster.4593.name, achievement.objective.431.name | object.8784.name | object.8797.name | object.8822.name | object.8823.name | object.8834.name | object.8835.name | object.8869.name | object.8870.name | object.8871.name | object.set.79.name | object.set.80.name",kept_neologism,
Abrajinieves,abrajinieves,monster.2544.name,kept_neologism,
Abrakadabra,abrakadabra,monster.2389.name,kept_neologism,
Abrakapa,abrakapa,object.2413.name | object.8464.name,kept_neologism,
Abrakeponerse,abrakeponerse,monster.2388.name,kept_neologism,
Abraknación,abraknación,spell.482.name,kept_neologism,
Abrakno,abrakno,"achievement.objective.504.name, monster.651.name | monster.4525.name, monster.650.name, achievement.objective.503.name | monster.992.name, achievement.objective.505.name",kept_neologism,
Abraknolimpieza,abraknolimpieza,spell.5098.name,kept_neologism,
Abraknydi,abraknydi,object.791.name,kept_neologism,
Abraknídea,abraknídea,spell.5104.name,kept_neologism,
Abraknídeo,abraknídeo,monster.race.22.name | spell.5102.name,kept_neologism,
Abraknídeos,abraknídeos,"achievement.174.name, achievement.objective.846.name",kept_neologism,
Abrakíledo,abrakíledo,monster.2309.name,kept_neologism,
Abramú,abramú,object.1619.name,kept_neologism,
Abranillo,abranillo,object.1559.name | object.1602.name | object.17518.name | object.836.name,kept_neologism,
Abrarco,abrarco,object.1620.name,kept_neologism,
Abrarrama,abrarrama,spell.485.name,kept_neologism,
Abrasado,abrasado,,removed_known_word,dictionary_form
Abrasador,abrasador,,removed_known_word,dictionary_form
Abrasadora,abrasadora,,removed_known_word,dictionary_form
Abrasamiento,abrasamiento,,removed_known_word,dictionary_form
Abratura,abratura,object.8468.name,kept_neologism,
Abrazo,abrazo,,removed_known_word,dictionary_form
Abrazolargo,abrazolargo,npc.497.name,kept_neologism,
Abrevadero,abrevadero,,removed_known_word,dictionary_form
Abrigo,abrigo,,removed_known_word,dictionary_form
Abrir,abrir,,removed_known_word,dictionary_form
Abroesidor,abroesidor,monster.2381.name,kept_neologism,
Abrojo,abrojo,,removed_known_word,dictionary_form
Abroncadora,abroncadora,title.148.female,kept_neologism,
Abrumadora,abrumadora,,removed_known_word,dictionary_form
Abrákllota,abrákllota,object.10664.name,kept_neologism,
Abrákneo,abrákneo,monster.2385.name,kept_neologism,
Abráknido,abráknido,"achievement.509.name, challenge.101.name, achievement.objective.2145.name | achievement.697.name, achievement.objective.2144.name, challenge.172.name | achievement.objective.1249.name, achievement.objective.225.name, achievement.objective.1826.name, achievement.objective.1824.name, monster.173.name | challenge.171.name, achievement.696.name, achievement.objective.2143.name | monster.254.name, achievement.objective.510.name | monster.2771.name | monster.4538.name | monster.4585.name, monster.253.name, achievement.objective.508.name | monster.47.name, achievement.objective.506.name, npc.3622.name, ride.family.4.name, rank.11.pattern | monster.4705.name | monster.919.name | monster.989.name | monster.991.name, achievement.objective.509.name | object.10259.name | object.10489.name | object.13528.name | object.14010.name | object.15565.name | object.1610.name | object.1611.name | object.1612.name | object.16151.name | object.20003.name | object.434.name | object.435.name | object.436.name | object.437.name | object.462.name | object.469.name | object.501.name | object.6496.name | object.7086.name | object.792.name | object.8494.name | object.8495.name | object.8496.name | object.927.name | object.set.3.name | quest.79.name | spell.9115.name, spell.8102.name",kept_neologism,
Abráknidos,abráknidos,"achievement.283.name | achievement.284.name, spelltype.132.title | achievement.285.name | achievement.objective.2332.name, world.area.6.name | achievement.objective.2333.name, world.subarea.168.name | achievement.objective.2554.name, world.subarea.175.name, achievement.35.name, dungeon.9.name, hint.2964.name | document.23.title | map.name.41157632.name | map.name.42468097.name | map.name.42468099.name | map.name.42469121.name | map.name.42470145.name | map.name.42599169.name | map.name.42600193.name | object.1567.name | object.7557.name | object.8449.name | object.923.name | world.subarea.169.name, achievement.objective.2331.name | world.subarea.33.name",kept_neologism,
Absenta,absenta,"spell.7027.name, spell.7029.name",kept_neologism,
Absolución,absolución,,removed_known_word,dictionary_form
Absoluta,absoluta,,removed_known_word,dictionary_form
Absorbente,absorbente,,removed_known_word,dictionary_form
Absorción,absorción,,removed_known_word,dictionary_form
Absorto,absorto,,removed_known_word,dictionary_form
Abub,abub,monster.384.name,kept_neologism,
Abubanero,abubanero,monster.2384.name,kept_neologism,
Abucheante,abucheante,object.11794.name,kept_neologism,
Abuchear,abuchear,,removed_known_word,dictionary_form
Abuela,abuela,,removed_known_word,dictionary_form
Abuelita,abuelita,npc.1381.name | npc.2203.name | npc.4553.name | object.11876.name | object.7037.name | spell.5042.name,kept_neologism,
Abuelito,abuelito,npc.2594.name,kept_neologism,
Abuelo,abuelo,,removed_known_word,dictionary_form
Abuelubo,abuelubo,monster.3862.name,kept_neologism,
Abul,abul,taxcollector.firstname.65.value,kept_neologism,
Abulita,abulita,npc.391.name,kept_neologism,
Abundancia,abundancia,,removed_known_word,dictionary_form
Aburrido,aburrido,,removed_known_word,dictionary_form
Abustin,abustin,monster.2498.name,kept_neologism,
Abá,abá,monster.2276.name,kept_neologism,
Acariciador,acariciador,,removed_known_word,dictionary_form
Acceder,acceder,,removed_known_word,dictionary_form
Acceso,acceso,,removed_known_word,dictionary_form
Accionar,accionar,,removed_known_word,dictionary_form
Acción,acción,,removed_known_word,dictionary_form
Acea,acea,object.11157.name,kept_neologism,
Acebavec,acebavec,object.6109.name,kept_neologism,
Acebugu,acebugu,object.6234.name,kept_neologism,
Acecho,acecho,,removed_known_word,dictionary_form
Acehofa,acehofa,object.3675.name,kept_neologism,
Aceite,aceite,,removed_known_word,dictionary_form
Aceitoso,aceitoso,,removed_known_word,dictionary_form
Aceleración,aceleración,,removed_known_word,dictionary_form
Acelerada,acelerada,,removed_known_word,dictionary_form
Acelerado,acelerado,,removed_known_word,dictionary_form
Acerados,acerados,,removed_known_word,dictionary_form
Acerbas,acerbas,,removed_known_word,dictionary_form
Acercamiento,acercamiento,,removed_known_word,dictionary_form
Acero,acero,,removed_known_word,dictionary_form
