game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
TOUCH,es,2d10,2d10,tb_only,tb_filtered_base,True,object.13252.name,object:13252,True,False,False,False,2d10,,,,,kept_neologism,,,
TOUCH,es,A139E,a139e,tb_only,tb_filtered_base,True,object.19352.name,object:19352,True,False,False,False,A139E,,,,,kept_neologism,,,
TOUCH,es,Aazimar,aazimar,tb_only,tb_filtered_base,True,npc.1967.name | quest.1247.name,npc:1967,True,False,False,False,Aazimar,,,,,kept_neologism,,,
TOUCH,es,Abayar,abayar,tb_only,tb_filtered_base,True,spell.1989.name,spell:1989,True,False,False,False,Abayar,,,,,kept_neologism,,,
TOUCH,es,Abdomimpacto,abdomimpacto,tb_only,tb_filtered_base,True,spell.7470.name,spell:7470,True,False,False,False,Abdomimpacto,,,,,kept_neologism,,,
TOUCH,es,abdominable,abdominable,tb_only,tb_filtered_base,True,object.12775.name,object:12775,True,False,False,False,abdominable,,,,,kept_neologism,,,
TOUCH,es,Abdominación,abdominación,tb_only,tb_filtered_base,True,spell.3492.name,spell:3492,True,False,False,False,Abdominación,,,,,kept_neologism,,,
TOUCH,es,Abebeh,abebeh,tb_only,tb_filtered_base,True,object.3744.name,object:3744,True,False,False,False,Abebeh,,,,,kept_neologism,,,
TOUCH,es,Abefun,abefun,tb_only,tb_filtered_base,True,object.4017.name,object:4017,True,False,False,False,Abefun,,,,,kept_neologism,,,
TOUCH,es,Abella,abella,tb_only,tb_filtered_base,True,"achievement.objective.4155.name | achievement.objective.4391.name, npc.4367.name, achievement.1421.name, achievement.objective.4309.name | object.20159.name",achievement:objective,True,False,False,False,Abella,,,,,kept_neologism,,,
TOUCH,es,Abellotamiento,abellotamiento,tb_only,tb_filtered_base,True,spell.5028.name,spell:5028,True,False,False,False,Abellotamiento,,,,,kept_neologism,,,
TOUCH,es,Abewolu,abewolu,tb_only,tb_filtered_base,True,object.5329.name,object:5329,True,False,False,False,Abewolu,,,,,kept_neologism,,,
TOUCH,es,Abipaca,abipaca,tb_only,tb_filtered_base,True,object.5828.name,object:5828,True,False,False,False,Abipaca,,,,,kept_neologism,,,
TOUCH,es,Abir,abir,tb_only,tb_filtered_base,True,npc.464.name,npc:464,True,False,False,False,Abir,,,,,kept_neologism,,,
TOUCH,es,Ablandón,ablandón,tb_only,tb_filtered_base,True,spell.2248.name,spell:2248,True,False,False,False,Ablandón,,,,,kept_neologism,,,
TOUCH,es,Able,able,tb_only,tb_filtered_base,True,monster.3171.name | npc.1471.name,monster:3171,True,False,False,False,Able,,,,,kept_neologism,,,
TOUCH,es,Abneguación,abneguación,tb_only,tb_filtered_base,True,spell.5306.name,spell:5306,True,False,False,False,Abneguación,,,,,kept_neologism,,,
TOUCH,es,Abobos,abobos,tb_only,tb_filtered_base,True,spell.8267.name | spell.8269.name,spell:8267,True,False,False,False,Abobos,,,,,kept_neologism,,,
TOUCH,es,Abominap,abominap,tb_only,tb_filtered_base,True,spell.2197.name,spell:2197,True,False,False,False,Abominap,,,,,kept_neologism,,,
TOUCH,es,Abomirol,abomirol,tb_only,tb_filtered_base,True,object.3561.name,object:3561,True,False,False,False,Abomirol,,,,,kept_neologism,,,
TOUCH,es,Abote,abote,tb_only,tb_filtered_base,True,"npc.2033.name, object.14181.name",npc:2033,True,False,False,False,Abote,,,,,kept_neologism,,,
TOUCH,es,Abrabotas,abrabotas,tb_only,tb_filtered_base,True,object.2423.name,object:2423,True,False,False,False,Abrabotas,,,,,kept_neologism,,,
TOUCH,es,abrabotas,abrabotas,tb_only,tb_filtered_base,True,object.2423.name,object:2423,True,False,False,False,abrabotas,,,,,kept_neologism,,,
