token,token_lower,tb_key,status,match_type
A'uld,a'uld,npc.2309.name,kept_neologism,
A139E,a139e,object.19352.name,kept_neologism,
ANÚNCIO,anúncio,,removed_known_word,dictionary_form
ASCENSÃO,ascensão,,removed_known_word,dictionary_form
ATF,atf,document.479.title,kept_neologism,
Aazimar,aazimar,npc.1967.name | quest.1247.name,kept_neologism,
Abacabotas,abacabotas,object.8341.name | object.8895.name,kept_neologism,
Abacachila,abacachila,object.7581.name | object.8897.name,kept_neologism,
Abacamáscara,abacamáscara,object.7422.name | object.8893.name,kept_neologism,
Abacapa,abacapa,object.7999.name | object.8894.name,kept_neologism,
Abaixe,abaixe,,removed_known_word,dictionary_form
Abalado,abalado,,removed_known_word,dictionary_form
Abalador,abalador,,removed_known_word,dictionary_form
Abalo,abalo,,removed_known_word,dictionary_form
Abandonadas,abandonadas,,removed_known_word,dictionary_form
Abandono,abandono,,removed_known_word,dictionary_form
Abastado,abastado,,removed_known_word,dictionary_form
Abastecimendo,abastecimendo,object.11261.name,kept_neologism,
Abdomimpacto,abdomimpacto,spell.7470.name,kept_neologism,
Abdominação,abdominação,spell.3492.name,kept_neologism,
Abdominável,abdominável,object.12775.name,kept_neologism,
Abebeh,abebeh,object.3744.name,kept_neologism,
Abefun,abefun,object.4017.name,kept_neologism,
Abeleza,abeleza,npc.3858.name,kept_neologism,
Abelha,abelha,,removed_known_word,dictionary_form
Abelhuda,abelhuda,,removed_known_word,dictionary_form
Abely,abely,npc.63.name,kept_neologism,
Abençoada,abençoada,,removed_known_word,dictionary_form
Abertura,abertura,,removed_known_word,dictionary_form
Aberturinimigo,aberturinimigo,spell.3083.name,kept_neologism,
Abewolu,abewolu,object.5329.name,kept_neologism,
Abipaca,abipaca,object.5828.name,kept_neologism,
Abir,abir,,removed_known_word,dictionary_form
Abismo,abismo,,removed_known_word,dictionary_form
Abismos,abismos,,removed_known_word,dictionary_form
Abissal,abissal,,removed_known_word,dictionary_form
Ablaru,ablaru,npc.964.name,kept_neologism,
Abnegação,abnegação,,removed_known_word,dictionary_form
Aboborado,aboborado,,removed_known_word,dictionary_form
Aboboranha,aboboranha,spell.3345.name,kept_neologism,
Aboborcego,aboborcego,"achievement.objective.3117.name, monster.3311.name",kept_neologism,
Abobowado,abobowado,monster.4681.name,kept_neologism,
Abobumelo,abobumelo,"monster.3309.name, achievement.objective.3115.name",kept_neologism,
Abocanhadora,abocanhadora,,removed_known_word,dictionary_form
Abolição,abolição,,removed_known_word,dictionary_form
Abominação,abominação,,removed_known_word,dictionary_form
Abominável,abominável,,removed_known_word,dictionary_form
Abominóbil,abominóbil,object.21907.name,kept_neologism,
Abomirol,abomirol,object.3561.name,kept_neologism,
Abordagem,abordagem,,removed_known_word,dictionary_form
Aboub,aboub,monster.2384.name,kept_neologism,
