game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
TOUCH,pt,A'uld,a'uld,tb_only,tb_filtered_base,True,npc.2309.name,npc:2309,True,False,False,False,A'uld,,,,,kept_neologism,,,
TOUCH,pt,A139E,a139e,tb_only,tb_filtered_base,True,object.19352.name,object:19352,True,False,False,False,A139E,,,,,kept_neologism,,,
TOUCH,pt,Aazimar,aazimar,tb_only,tb_filtered_base,True,npc.1967.name | quest.1247.name,npc:1967,True,False,False,False,Aazimar,,,,,kept_neologism,,,
TOUCH,pt,Abacabotas,abacabotas,tb_only,tb_filtered_base,True,object.8341.name | object.8895.name,object:8341,True,False,False,False,Abacabotas,,,,,kept_neologism,,,
TOUCH,pt,Abacachila,abacachila,tb_only,tb_filtered_base,True,object.7581.name | object.8897.name,object:7581,True,False,False,False,Abacachila,,,,,kept_neologism,,,
TOUCH,pt,Abacamáscara,abacamáscara,tb_only,tb_filtered_base,True,object.7422.name | object.8893.name,object:7422,True,False,False,False,Abacamáscara,,,,,kept_neologism,,,
TOUCH,pt,Abacapa,abacapa,tb_only,tb_filtered_base,True,object.7999.name | object.8894.name,object:7999,True,False,False,False,Abacapa,,,,,kept_neologism,,,
TOUCH,pt,Abastecimendo,abastecimendo,tb_only,tb_filtered_base,True,object.11261.name,object:11261,True,False,False,False,Abastecimendo,,,,,kept_neologism,,,
TOUCH,pt,Abdomimpacto,abdomimpacto,tb_only,tb_filtered_base,True,spell.7470.name,spell:7470,True,False,False,False,Abdomimpacto,,,,,kept_neologism,,,
TOUCH,pt,Abdominação,abdominação,tb_only,tb_filtered_base,True,spell.3492.name,spell:3492,True,False,False,False,Abdominação,,,,,kept_neologism,,,
TOUCH,pt,Abdominável,abdominável,tb_only,tb_filtered_base,True,object.12775.name,object:12775,True,False,False,False,Abdominável,,,,,kept_neologism,,,
