token,token_lower,tb_key,status,match_type
1st,1st,,removed_known_word,dictionary_form
2nd,2nd,,removed_known_word,dictionary_form
3rd,3rd,,removed_known_word,dictionary_form
4th,4th,,removed_known_word,dictionary_form
5th,5th,,removed_known_word,dictionary_form
A-Changing,a-changing,State.name.5851,kept_neologism,
A-String,a-string,Item.name.24240,kept_neologism,
AIR,air,,removed_known_word,dictionary_form
APBlowa,apblowa,Spell.name.1837,kept_neologism,
APVacuum,apvacuum,Spell.name.1836,kept_neologism,
Aaarrrggh,aaarrrggh,State.name.1885,kept_neologism,
Abacus,abacus,,removed_known_word,dictionary_form
Abador,abador,Ambience Zone.name.1993,kept_neologism,
Abandon,abandon,,removed_known_word,dictionary_form
Abandoned,abandoned,,removed_known_word,dictionary_form
Abe,abe,,removed_known_word,dictionary_form
Abell,abell,"Item.name.25520, Item.name.25519, Item.name.11036",kept_neologism,
Abilities,abilities,,removed_known_word,dictionary_form
Able,able,,removed_known_word,dictionary_form
Abnegation,abnegation,,removed_known_word,dictionary_form
Abominable,abominable,,removed_known_word,dictionary_form
Abomination,abomination,,removed_known_word,dictionary_form
Aboon,aboon,Item.name.19739 | Item.name.19740 | Item.name.28597,kept_neologism,
Aborr,aborr,"Item.name.10033, Item.name.10948, Item.name.10947, Item.name.10946, Item.name.10945",kept_neologism,
Aboum,aboum,"Item.name.14321 | Item.name.14389 | Item.name.25988, Item.name.25986, Item.name.15278, Item.name.25987 | Krosmaster Arena Figurines.name.10",kept_neologism,
About-Turn,about-turn,Item.name.28933 | State.name.6834,kept_neologism,
Above,above,,removed_known_word,dictionary_form
Abrakobama,abrakobama,Spell.name.3476,kept_neologism,
Abrandom,abrandom,Ambience Zone.name.1970,kept_neologism,
Abrasive,abrasive,,removed_known_word,dictionary_form
Abreastplate,abreastplate,"Item.name.22434, Item.name.19127, Item.name.22433 | Item.name.29543, Item.name.29542",kept_neologism,
Abribus,abribus,Achievement.achievement name.3979 | Monster.name.4098,kept_neologism,
Abridged,abridged,,removed_known_word,dictionary_form
Absolute,absolute,,removed_known_word,dictionary_form
Absolution,absolution,,removed_known_word,dictionary_form
Absorbed,absorbed,,removed_known_word,dictionary_form
Absorber,absorber,,removed_known_word,dictionary_form
Absorption,absorption,,removed_known_word,dictionary_form
Abstraction,abstraction,,removed_known_word,dictionary_form
Absynteeism,absynteeism,"Instance.instance name.859, Ambience Zone.name.1322",kept_neologism,
Abundance,abundance,,removed_known_word,dictionary_form
Abundant,abundant,,removed_known_word,dictionary_form
Abysmal,abysmal,,removed_known_word,dictionary_form
Abyss,abyss,,removed_known_word,dictionary_form
Abyssal,abyssal,,removed_known_word,dictionary_form
Abysses,abysses,,removed_known_word,dictionary_form
Academic,academic,,removed_known_word,dictionary_form
Academy,academy,,removed_known_word,dictionary_form
Accelerat,accelerat,"Monster.name.5559, Monster.name.1787",kept_neologism,
Accelerated,accelerated,,removed_known_word,dictionary_form
Acceleration,acceleration,,removed_known_word,dictionary_form
Accelerator,accelerator,,removed_known_word,dictionary_form
Acceleratring,acceleratring,Item.name.20399,kept_neologism,
Access,access,,removed_known_word,dictionary_form
Accessible,accessible,,removed_known_word,dictionary_form
Accessory,accessory,,removed_known_word,dictionary_form
Acclaimed,acclaimed,,removed_known_word,dictionary_form
Account,account,,removed_known_word,dictionary_form
Accounts,accounts,,removed_known_word,dictionary_form
Accumulated,accumulated,,removed_known_word,dictionary_form
Accumulation,accumulation,,removed_known_word,dictionary_form
Accumulator,accumulator,,removed_known_word,dictionary_form
Ace,ace,,removed_known_word,dictionary_form
Acerola,acerola,Ambience Zone.name.2058,kept_neologism,
Acey,acey,Item.name.15125 | Item.name.21133,kept_neologism,
Ache,ache,,removed_known_word,dictionary_form
Achievement,achievement,,removed_known_word,dictionary_form
Achievements,achievements,,removed_known_word,dictionary_form
Acid,acid,,removed_known_word,dictionary_form
Acidic,acidic,,removed_known_word,dictionary_form
Acidity,acidity,,removed_known_word,dictionary_form
Ackordyon,ackordyon,"Item.name.25890, Item.name.25889, Item.name.25891",kept_neologism,
Acne,acne,,removed_known_word,dictionary_form
Acolyte,acolyte,,removed_known_word,dictionary_form
Aconitoids,aconitoids,Monster.name.3992,kept_neologism,
Acorn,acorn,,removed_known_word,dictionary_form
Acown,acown,Item.name.15071,kept_neologism,
Acrid,acrid,,removed_known_word,dictionary_form
Acrobat,acrobat,,removed_known_word,dictionary_form
Acrobatics,acrobatics,,removed_known_word,dictionary_form
Act,act,,removed_known_word,dictionary_form
Action,action,,removed_known_word,dictionary_form
Activate,activate,,removed_known_word,dictionary_form
Activated,activated,,removed_known_word,dictionary_form
Activation,activation,,removed_known_word,dictionary_form
Active,active,,removed_known_word,dictionary_form
Activities,activities,,removed_known_word,dictionary_form
Acu,acu,"Item.name.9605, Item.name.9608, Item.name.9607, Item.name.17793, Item.name.9343, Item.name.9606",kept_neologism,
Acuity,acuity,,removed_known_word,dictionary_form
Acute,acute,,removed_known_word,dictionary_form
Acuteness,acuteness,,removed_known_word,dictionary_form
Adal,adal,"Achievement.achievement name.646 | Monster.name.5413 | State.name.2932, Item.name.18616",kept_neologism,
Adamai,adamai,Item.name.25024 | Item.name.30733 | Item.name.31134 | Item.name.31138,kept_neologism,
Adams,adams,,removed_known_word,dictionary_form
Added,added,,removed_known_word,dictionary_form
Adelus,adelus,Item.name.10052,kept_neologism,
Adept,adept,,removed_known_word,dictionary_form
Adertal,adertal,Item.name.26326,kept_neologism,
Adjustable,adjustable,,removed_known_word,dictionary_form
Adjusted,adjusted,,removed_known_word,dictionary_form
Adjustment,adjustment,,removed_known_word,dictionary_form
Admihurl,admihurl,"Item_set.name.431, Item.name.15062",kept_neologism,
Admin,admin,,removed_known_word,dictionary_form
Admirable,admirable,,removed_known_word,dictionary_form
Admiral,admiral,,removed_known_word,dictionary_form
Admission,admission,,removed_known_word,dictionary_form
Adonni,adonni,Monster.name.3702,kept_neologism,
Adorer,adorer,,removed_known_word,dictionary_form
Adoussur,adoussur,"Item.name.23092, Item.name.23093, Item.name.16062",kept_neologism,
Adrenaline,adrenaline,,removed_known_word,dictionary_form
Adult,adult,,removed_known_word,dictionary_form
Advance,advance,,removed_known_word,dictionary_form
Advanced,advanced,,removed_known_word,dictionary_form
Advantage,advantage,,removed_known_word,dictionary_form
Advent,advent,,removed_known_word,dictionary_form
Adventure,adventure,,removed_known_word,dictionary_form
Adventurer,adventurer,,removed_known_word,dictionary_form
Adventurers,adventurers,,removed_known_word,dictionary_form
Aegis,aegis,,removed_known_word,dictionary_form
Aer'rune,aer'rune,State.name.4067 | State.name.5374,kept_neologism,
Aerafal,aerafal,"Item.name.23973, Item.name.23974 | Item.name.24211",kept_neologism,
Aerial,aerial,,removed_known_word,dictionary_form
Aerio,aerio,"Item.name.30204, Item.name.30203, Item.name.30202",kept_neologism,
Aero,aero,,removed_known_word,dictionary_form
Aero-Pig,aero-pig,State.name.5629,kept_neologism,
Aeroboots,aeroboots,Item.name.11306,kept_neologism,
Aerocape,aerocape,Item.name.11302,kept_neologism,
Aerodynamic,aerodynamic,,removed_known_word,dictionary_form
Aerohat,aerohat,Item.name.11298,kept_neologism,
Aeropaulettes,aeropaulettes,Item.name.11310,kept_neologism,
Aesof,aesof,Item.name.14540,kept_neologism,
Affair,affair,,removed_known_word,dictionary_form
Affection,affection,,removed_known_word,dictionary_form
Affinity,affinity,,removed_known_word,dictionary_form
Affix,affix,,removed_known_word,dictionary_form
Aficahpe,aficahpe,"Item.name.29230, Item.name.29229",kept_neologism,
After,after,,removed_known_word,dictionary_form
Afterhere,afterhere,Monster.name.4483,kept_neologism,
Aftershocks,aftershocks,,removed_known_word,dictionary_form
Again,again,,removed_known_word,dictionary_form
Against,against,,removed_known_word,dictionary_form
Agama,agama,,removed_known_word,dictionary_form
Agatank,agatank,"Monster.name.4663, Monster.name.4650, Monster.name.5228 | Monster.name.5201",kept_neologism,
Agate,agate,,removed_known_word,dictionary_form
Agathie,agathie,Monster.name.4454,kept_neologism,
Age,age,,removed_known_word,dictionary_form
Age-Old,age-old,,removed_known_word,dictionary_form
Aged,aged,,removed_known_word,dictionary_form
