token,token_lower,tb_key,status,match_type
1er,1er,,removed_known_word,dictionary_form
1ère,1ère,"Achievement.achievement name.2773, Achievement.achievement name.2774 | Item.name.14113",kept_neologism,
2ème,2ème,"Achievement.achievement name.2781, Achievement.achievement name.2782 | Achievement.achievement name.2787 | Item.name.14114 | Zaap.boat name.32347, Zaap.boat name.32345",kept_neologism,
3ème,3ème,"Achievement.achievement name.2789, Achievement.achievement name.2788 | Achievement.achievement name.2797 | Zaap.boat name.32355, Zaap.boat name.32354",kept_neologism,
A'geuse,a'geuse,Item.name.11863,kept_neologism,
A'pide,a'pide,Item.name.11864,kept_neologism,
A-Rikton,a-rikton,Item.name.12690,kept_neologism,
AIR,air,,removed_known_word,dictionary_form
Aaarrrggh,aaarrrggh,State.name.1885,kept_neologism,
Ababor,ababor,Ambience Zone.name.1993,kept_neologism,
Abago,abago,Achievement.achievement name.3278,kept_neologism,
Abandon,abandon,,removed_known_word,dictionary_form
Abandonné,abandonné,,removed_known_word,dictionary_form
Abandonnée,abandonnée,,removed_known_word,dictionary_form
Abeilles,abeilles,,removed_known_word,dictionary_form
Abel,abel,,removed_known_word,dictionary_form
Ablateuse,ablateuse,Item.name.23596,kept_neologism,
Able,able,,removed_known_word,dictionary_form
Abnégation,abnégation,,removed_known_word,dictionary_form
Aboiement,aboiement,,removed_known_word,dictionary_form
Abominable,abominable,,removed_known_word,dictionary_form
Abomination,abomination,,removed_known_word,dictionary_form
Abondance,abondance,,removed_known_word,dictionary_form
Aboon,aboon,Item.name.19739 | Item.name.19740 | Item.name.28597,kept_neologism,
Abordage,abordage,,removed_known_word,dictionary_form
Abouare,abouare,Item.name.20711,kept_neologism,
Aboum,aboum,"Item.name.14321 | Item.name.14389 | Item.name.25988, Item.name.25986, Item.name.15278, Item.name.25987 | Krosmaster Arena Figurines.name.10",kept_neologism,
Abra,abra,"Achievement.achievement name.4338 | Achievement.achievement name.4339 | Achievement.achievement name.4340 | Achievement.achievement name.4396 | Achievement.achievement name.4397 | Achievement.achievement name.4398 | Achievement.achievement name.4399 | Achievement.achievement name.5280 | Item_set.name.250, Item.name.12963",kept_neologism,
Abrabranche,abrabranche,"Spell.name.5806, Spell.name.6346, Spell.name.6352",kept_neologism,
Abracape,abracape,"Item.name.25737, Item.name.25735, Item.name.25738, Item.name.25736, Item.name.23600, Item.name.23601 | Item.name.9681",kept_neologism,
Abracasque,abracasque,"Item.name.25779, Item.name.23615, Item.name.25778, Item.name.25780 | Item.name.26694 | Item.name.9682",kept_neologism,
Abragland,abragland,"Achievement.achievement name.3969 | Monster.name.4643, Monster.name.4077",kept_neologism,
Abraknassion,abraknassion,"Spell.name.5807, Spell.name.6347, Spell.name.6353",kept_neologism,
Abrakne,abrakne,Achievement.achievement name.2970 | Item.name.20651 | Item.name.20656 | Item.name.20670 | Item.name.20671 | Item.name.30035 | Monster.name.5109 | Resource.name.626,kept_neologism,
Abraknelle,abraknelle,Achievement.achievement name.4068 | Achievement.achievement name.4146 | Achievement.achievement name.4599 | Item.name.20675 | Item.name.22150 | Monster.name.4107,kept_neologism,
Abraknes,abraknes,"Achievement.achievement name.3629 | Achievement.achievement name.3630 | Achievement.achievement name.3631 | Achievement.achievement name.3632 | Achievement.achievement name.3664 | Achievement.achievement name.3665 | Achievement.achievement name.3666 | Monster_type.name.828, Monster_type.name.829 | Territory_Zone.name.76701, Dungeon.dungeon name.125, Ambience Zone.name.1631, Instance.instance name.1091",kept_neologism,
Abraknettoyage,abraknettoyage,Spell.name.6090,kept_neologism,
Abraknyde,abraknyde,"Achievement.achievement name.4015 | Achievement.achievement name.4445 | Ambience Zone.name.1014, Instance.instance name.468, Dungeon.dungeon name.148, Instance.instance name.202, Ambience Zone.name.1013 | Instance.instance name.1454, Dungeon.dungeon name.215, Ambience Zone.name.2226 | Item.name.14835 | Item.name.14836 | Item.name.14837, Item.name.25765, Item.name.25764, Item.name.23612, Item.name.25763 | Item.name.14838 | Item.name.14839, Item.name.25773, Item.name.25775, Item.name.23614, Item.name.25774 | Item.name.14840, Item.name.25766, Item.name.23613, Item.name.25767, Item.name.25768 | Item.name.14850, Item.name.25787, Item.name.25788 | Item.name.14851 | Item.name.14852 | Item.name.14853 | Item.name.14855 | Item.name.14856, Item.name.23611 | Item.name.14912 | Item.name.14913 | Item.name.14994 | Item.name.14995, Item.name.25734, Item.name.25733 | Item.name.14998, Item.name.25732, Item.name.25731 | Item.name.25728, Item.name.25727, Item.name.14997 | Item.name.25730, Item.name.25729 | Item.name.25759, Item.name.25758, Item.name.14854, Item.name.25757, Item.name.23610 | Item.name.25760, Item.name.25761, Item.name.25762 | Item.name.25769, Item.name.14842, Item.name.25770 | Item.name.25771, Item.name.25772 | Item.name.25776, Item.name.25777, Item.name.14841 | Item.name.25790, Item.name.14996, Item.name.25789 | Item.name.25791, Item.name.14993, Item.name.25792 | Item.name.26465 | Item.name.26466, Item.name.14845 | Item.name.26467 | Item.name.26468, Item.name.4524 | Item.name.26696 | Item.name.26697 | Item.name.30086 | Item.name.32682 | Item.name.5569, Item.name.26469 | Item.name.8084 | Item_set.name.418 | Item_set.name.419 | Monster.name.3284 | Monster.name.4094, Monster.name.2121 | Monster.name.4644, Monster.name.2817, Monster.name.4076 | Monster.name.4886 | Monster.name.4888 | Resource.name.195 | Spell.name.4114 | State.name.2473 | Zaap.drago name.18950, Zaap.drago name.6815",kept_neologism,
Abraknydes,abraknydes,"Monster_type.name.48, State.name.5772, Monster_type.name.71 | State.name.1575",kept_neologism,
Abraknydi,abraknydi,"Item.name.25785, Item.name.25786, Item.name.25784, Item.name.9377, Item.name.11241, Item.name.23617 | Item.name.26695",kept_neologism,
Abraknydienne,abraknydienne,State.name.4844,kept_neologism,
Abrakobama,abrakobama,Spell.name.3476,kept_neologism,
Abramulette,abramulette,"Item.name.25781, Item.name.23616, Item.name.25783, Item.name.25782 | Item.name.9353",kept_neologism,
Abrandom,abrandom,Ambience Zone.name.1970,kept_neologism,
Abrano,abrano,"Item.name.23602, Item.name.25740, Item.name.25739, Item.name.25741, Item.name.23603, Item.name.25742 | Item.name.4146",kept_neologism,
Abrapaulettes,abrapaulettes,"Item.name.25743, Item.name.23604, Item.name.25744, Item.name.23605, Item.name.25745, Item.name.25746 | Item.name.9683",kept_neologism,
Abrasif,abrasif,,removed_known_word,dictionary_form
Abraton,abraton,Item.name.14857,kept_neologism,
Abratongues,abratongues,"Item.name.23606, Item.name.25747, Item.name.25749, Item.name.25748 | Item.name.9680",kept_neologism,
Abratron,abratron,"Item.name.25751, Item.name.25753, Item.name.25750, Item.name.23607, Item.name.25752, Item.name.23608 | Item.name.9401",kept_neologism,
Abrature,abrature,"Item.name.25755, Item.name.25754, Item.name.25756, Item.name.23609 | Item.name.9305",kept_neologism,
Abre,abre,"Item.name.26976, Item.name.26975, Item.name.26977",kept_neologism,
Abri,abri,,removed_known_word,dictionary_form
Abribus,abribus,,removed_known_word,dictionary_form
Abrité,abrité,,removed_known_word,dictionary_form
Abritées,abritées,,removed_known_word,dictionary_form
Absolu,absolu,,removed_known_word,dictionary_form
Absolues,absolues,,removed_known_word,dictionary_form
Absolution,absolution,,removed_known_word,dictionary_form
Absorbée,absorbée,,removed_known_word,dictionary_form
Absorption,absorption,,removed_known_word,dictionary_form
Abstraction,abstraction,,removed_known_word,dictionary_form
Absynthéisme,absynthéisme,"Instance.instance name.859, Ambience Zone.name.1322",kept_neologism,
Abyss,abyss,Achievement.achievement name.4335 | Achievement.achievement name.4336 | Achievement.achievement name.4337 | Achievement.achievement name.4392 | Achievement.achievement name.4393 | Achievement.achievement name.4394 | Achievement.achievement name.4395,kept_neologism,
Abyssal,abyssal,,removed_known_word,dictionary_form
Abyssale,abyssale,,removed_known_word,dictionary_form
Abyssaux,abyssaux,,removed_known_word,dictionary_form
Abysses,abysses,,removed_known_word,dictionary_form
Abîmée,abîmée,,removed_known_word,dictionary_form
Academie,academie,HavreMonde_batiment_catalog.haven_world_house_catalog_name.232,kept_neologism,
Académie,académie,,removed_known_word,dictionary_form
Académique,académique,,removed_known_word,dictionary_form
Acajou,acajou,,removed_known_word,dictionary_form
Acajoule,acajoule,Item.name.22055,kept_neologism,
Accessible,accessible,,removed_known_word,dictionary_form
Accessoire,accessoire,,removed_known_word,dictionary_form
Accidenté,accidenté,,removed_known_word,dictionary_form
Acclamé,acclamé,,removed_known_word,dictionary_form
Accolade,accolade,,removed_known_word,dictionary_form
Accord,accord,,removed_known_word,dictionary_form
Accords,accords,,removed_known_word,dictionary_form
Accroch'Porc,accroch'porc,Spell.name.6548,kept_neologism,
Accrochage,accrochage,,removed_known_word,dictionary_form
Accrocheuse,accrocheuse,,removed_known_word,dictionary_form
Accueil,accueil,,removed_known_word,dictionary_form
Acculé,acculé,,removed_known_word,dictionary_form
Accumulation,accumulation,,removed_known_word,dictionary_form
Accès,accès,,removed_known_word,dictionary_form
Accéléflaqueuse,accéléflaqueuse,"State.name.5412, Area.name.1311",kept_neologism,
Accélérateur,accélérateur,,removed_known_word,dictionary_form
Accélération,accélération,,removed_known_word,dictionary_form
Accéléré,accéléré,,removed_known_word,dictionary_form
Acerola,acerola,Ambience Zone.name.2058,kept_neologism,
Acharnelle,acharnelle,"Item.name.17162 | Item.name.24438, Item.name.24439",kept_neologism,
Acharnement,acharnement,,removed_known_word,dictionary_form
Acharné,acharné,,removed_known_word,dictionary_form
Achievement,achievement,State.name.2287,kept_neologism,
Achille,achille,,removed_known_word,dictionary_form
Acide,acide,,removed_known_word,dictionary_form
Acides,acides,,removed_known_word,dictionary_form
Acidité,acidité,,removed_known_word,dictionary_form
Acidulée,acidulée,,removed_known_word,dictionary_form
Acier,acier,,removed_known_word,dictionary_form
Acnée,acnée,State.name.7850,kept_neologism,
Aconitoïdes,aconitoïdes,Monster.name.3992,kept_neologism,
Acquiescer,acquiescer,,removed_known_word,dictionary_form
Acribie,acribie,Item.name.31621 | Item.name.31622 | Item.name.31623 | State.name.8388,kept_neologism,
Acrobate,acrobate,,removed_known_word,dictionary_form
Acrée,acrée,"Item.name.19358, Item.name.23510",kept_neologism,
Acte,acte,,removed_known_word,dictionary_form
Actif,actif,,removed_known_word,dictionary_form
Activation,activation,,removed_known_word,dictionary_form
Activités,activités,,removed_known_word,dictionary_form
Activée,activée,,removed_known_word,dictionary_form
Acuité,acuité,,removed_known_word,dictionary_form
Acéré,acéré,,removed_known_word,dictionary_form
Acérée,acérée,,removed_known_word,dictionary_form
Acéwée,acéwée,Item.name.17337,kept_neologism,
