token,token_lower,tb_key,status,match_type
A'Vida,a'vida,Item.name.29283 | Item.name.29284,kept_neologism,
A'nulado,a'nulado,"Item.name.29144, Item.name.29145, Item.name.29143",kept_neologism,
AUU,auu,Spell.name.4490,kept_neologism,
Aaarrrggh,aaarrrggh,State.name.1885,kept_neologism,
Ababor,ababor,Ambience Zone.name.1993,kept_neologism,
Abade,abade,,removed_known_word,dictionary_form
Abades,abades,,removed_known_word,dictionary_form
Abaixada,abaixada,,removed_known_word,dictionary_form
Abaixatado,abaixatado,State.name.1080,kept_neologism,
Abaixo,abaixo,,removed_known_word,dictionary_form
Abalo,abalo,,removed_known_word,dictionary_form
Abandonada,abandonada,,removed_known_word,dictionary_form
Abandonado,abandonado,,removed_known_word,dictionary_form
Abandonar,abandonar,,removed_known_word,dictionary_form
Abandono,abandono,,removed_known_word,dictionary_form
Abdul,abdul,Item.name.10569,kept_neologism,
Abela,abela,,removed_known_word,dictionary_form
Abele,abele,Item.name.10127,kept_neologism,
Abelha,abelha,,removed_known_word,dictionary_form
Abelhas,abelhas,,removed_known_word,dictionary_form
Abençoado,abençoado,,removed_known_word,dictionary_form
Aberta,aberta,,removed_known_word,dictionary_form
Aberto,aberto,,removed_known_word,dictionary_form
Abertura,abertura,,removed_known_word,dictionary_form
Abi,abi,,removed_known_word,dictionary_form
Abismo,abismo,,removed_known_word,dictionary_form
Abismos,abismos,,removed_known_word,dictionary_form
Abissais,abissais,,removed_known_word,dictionary_form
Abissal,abissal,,removed_known_word,dictionary_form
Ablasador,ablasador,"Spell.name.3757, Spell.name.3923",kept_neologism,
Abnegação,abnegação,,removed_known_word,dictionary_form
Abobomedo,abobomedo,"Item.name.20582, State.name.4388",kept_neologism,
Aboborado,aboborado,,removed_known_word,dictionary_form
Aboboraiaiai,aboboraiaiai,Item.name.22127,kept_neologism,
Aboborino,aboborino,Item.name.14501 | State.name.1480,kept_neologism,
Abobowado,abobowado,Monster.name.2073,kept_neologism,
Abomantável,abomantável,"Item.name.25266, Item.name.25265, Item.name.11799",kept_neologism,
Abominação,abominação,,removed_known_word,dictionary_form
Abominável,abominável,,removed_known_word,dictionary_form
Aboon,aboon,Item.name.19739 | Item.name.19740 | Item.name.28597,kept_neologism,
Abordagem,abordagem,,removed_known_word,dictionary_form
Aborrecinto,aborrecinto,"Item.name.22219, Item.name.22220, Item.name.19700, Item.name.22218",kept_neologism,
Abrakobama,abrakobama,Spell.name.3476,kept_neologism,
Abrandom,abrandom,Ambience Zone.name.1970,kept_neologism,
Abrasadora,abrasadora,,removed_known_word,dictionary_form
Abrasamento,abrasamento,,removed_known_word,dictionary_form
Abrasiva,abrasiva,,removed_known_word,dictionary_form
Abrasivo,abrasivo,,removed_known_word,dictionary_form
Abraçadeira,abraçadeira,,removed_known_word,dictionary_form
Abraço,abraço,,removed_known_word,dictionary_form
Abre,abre,,removed_known_word,dictionary_form
Abreviada,abreviada,,removed_known_word,dictionary_form
Abridor,abridor,,removed_known_word,dictionary_form
Abrigados,abrigados,,removed_known_word,dictionary_form
Abrigo,abrigo,,removed_known_word,dictionary_form
Abrigus,abrigus,Achievement.achievement name.3979 | Monster.name.4098,kept_neologism,
Abrir,abrir,,removed_known_word,dictionary_form
