game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
WAKFU,pt,A'nulado,a'nulado,tb_only,tb_filtered_base,True,"Item.name.29144, Item.name.29145, Item.name.29143",Item:name,True,False,False,False,A'nulado,,,,,kept_neologism,,,
WAKFU,pt,A'Vida,a'vida,tb_only,tb_filtered_base,True,Item.name.29283 | Item.name.29284,Item:name,True,False,False,False,A'Vida,,,,,kept_neologism,,,
WAKFU,pt,a-changing,a-changing,tb_only,tb_filtered_base,True,State.name.5851,State:name,True,False,False,False,a-changing,,,,,kept_neologism,,,
WAKFU,pt,Aaarrrggh,aaarrrggh,tb_only,tb_filtered_base,True,State.name.1885,State:name,True,False,False,False,Aaarrrggh,,,,,kept_neologism,,,
WAKFU,pt,Ababor,ababor,tb_only,tb_filtered_base,True,Ambience Zone.name.1993,Ambience Zone:name,True,False,False,False,Ababor,,,,,kept_neologism,,,
WAKFU,pt,Abaixatado,abaixatado,tb_only,tb_filtered_base,True,State.name.1080,State:name,True,False,False,False,Abaixatado,,,,,kept_neologism,,,
WAKFU,pt,Abdul,abdul,tb_only,tb_filtered_base,True,Item.name.10569,Item:name,True,False,False,False,Abdul,,,,,kept_neologism,,,
WAKFU,pt,Abele,abele,tb_only,tb_filtered_base,True,Item.name.10127,Item:name,True,False,False,False,Abele,,,,,kept_neologism,,,
WAKFU,pt,Ablasador,ablasador,tb_only,tb_filtered_base,True,"Spell.name.3757, Spell.name.3923",Spell:name,True,False,False,False,Ablasador,,,,,kept_neologism,,,
WAKFU,pt,Abobomedo,abobomedo,tb_only,tb_filtered_base,True,"Item.name.20582, State.name.4388",Item:name,True,False,False,False,Abobomedo,,,,,kept_neologism,,,
WAKFU,pt,Aboboraiaiai,aboboraiaiai,tb_only,tb_filtered_base,True,Item.name.22127,Item:name,True,False,False,False,Aboboraiaiai,,,,,kept_neologism,,,
WAKFU,pt,Aboborino,aboborino,tb_only,tb_filtered_base,True,Item.name.14501 | State.name.1480,Item:name,True,False,False,False,Aboborino,,,,,kept_neologism,,,
WAKFU,pt,Abobowado,abobowado,tb_only,tb_filtered_base,True,Monster.name.2073,Monster:name,True,False,False,False,Abobowado,,,,,kept_neologism,,,
WAKFU,pt,Abomantável,abomantável,tb_only,tb_filtered_base,True,"Item.name.25266, Item.name.25265, Item.name.11799",Item:name,True,False,False,False,Abomantável,,,,,kept_neologism,,,
WAKFU,pt,Aboon,aboon,tb_only,tb_filtered_base,True,Item.name.19739 | Item.name.19740 | Item.name.28597,Item:name,True,False,False,False,Aboon,,,,,kept_neologism,,,
WAKFU,pt,Aborrecinto,aborrecinto,tb_only,tb_filtered_base,True,"Item.name.22219, Item.name.22220, Item.name.19700, Item.name.22218",Item:name,True,False,False,False,Aborrecinto,,,,,kept_neologism,,,
WAKFU,pt,Abrakobama,abrakobama,tb_only,tb_filtered_base,True,Spell.name.3476,Spell:name,True,False,False,False,Abrakobama,,,,,kept_neologism,,,
WAKFU,pt,Abrandom,abrandom,tb_only,tb_filtered_base,True,Ambience Zone.name.1970,Ambience Zone:name,True,False,False,False,Abrandom,,,,,kept_neologism,,,
WAKFU,pt,Abrigus,abrigus,tb_only,tb_filtered_base,True,Achievement.achievement name.3979 | Monster.name.4098,Achievement:achievement name,True,False,False,False,Abrigus,,,,,kept_neologism,,,
WAKFU,pt,Absinteísmo,absinteísmo,tb_only,tb_filtered_base,True,"Instance.instance name.859, Ambience Zone.name.1322",Instance:instance name,True,False,False,False,Absinteísmo,,,,,kept_neologism,,,
