game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases,source_games,source_reports_count,source_rows_merged,origin_classes,filter_statuses,filter_match_types
WAKFU,es,1-2-3,1-2-3,tb_only,tb_filtered_base,True,,,True,False,False,False,1-2-3,,,,,kept_neologism,,,,WAKFU,1,1,tb_only,kept_neologism,
DOFUS,es,1c1,1c1,tb_only,tb_filtered_base,True,,,True,False,False,False,1c1,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
RETRO,es,1era,1era,tb_only,tb_filtered_base,True,,,True,False,False,False,1era,,,,,kept_neologism,,,,RETRO,1,1,tb_only,kept_neologism,
DOFUS,es,250kolichas,250kolichas,tb_only,tb_filtered_base,True,,,True,False,False,False,250kolichas,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,2d10,2d10,tb_only,tb_filtered_base,True,,,True,False,False,False,2d10,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,2X25,2x25,tb_only,tb_filtered_base,True,,,True,False,False,False,2X25,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,3c3,3c3,tb_only,tb_filtered_base,True,,,True,False,False,False,3c3,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
WAKFU,es,A-changing,a-changing,tb_only,tb_filtered_base,True,,,True,False,False,False,A-changing,,,,,kept_neologism,,,,WAKFU,1,1,tb_only,kept_neologism,
DOFUS,es,A-Gyō,a-gyō,tb_only,tb_filtered_base,True,,,True,False,False,False,A-Gyō,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A10,a10,tb_only,tb_filtered_base,True,,,True,False,False,False,A10,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A11,a11,tb_only,tb_filtered_base,True,,,True,False,False,False,A11,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A12,a12,tb_only,tb_filtered_base,True,,,True,False,False,False,A12,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A13,a13,tb_only,tb_filtered_base,True,,,True,False,False,False,A13,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A14,a14,tb_only,tb_filtered_base,True,,,True,False,False,False,A14,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A15,a15,tb_only,tb_filtered_base,True,,,True,False,False,False,A15,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A16,a16,tb_only,tb_filtered_base,True,,,True,False,False,False,A16,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A17,a17,tb_only,tb_filtered_base,True,,,True,False,False,False,A17,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A18,a18,tb_only,tb_filtered_base,True,,,True,False,False,False,A18,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A19,a19,tb_only,tb_filtered_base,True,,,True,False,False,False,A19,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A20,a20,tb_only,tb_filtered_base,True,,,True,False,False,False,A20,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A21,a21,tb_only,tb_filtered_base,True,,,True,False,False,False,A21,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A22,a22,tb_only,tb_filtered_base,True,,,True,False,False,False,A22,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A23,a23,tb_only,tb_filtered_base,True,,,True,False,False,False,A23,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A24,a24,tb_only,tb_filtered_base,True,,,True,False,False,False,A24,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A25,a25,tb_only,tb_filtered_base,True,,,True,False,False,False,A25,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A26,a26,tb_only,tb_filtered_base,True,,,True,False,False,False,A26,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A27,a27,tb_only,tb_filtered_base,True,,,True,False,False,False,A27,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A28,a28,tb_only,tb_filtered_base,True,,,True,False,False,False,A28,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A29,a29,tb_only,tb_filtered_base,True,,,True,False,False,False,A29,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A30,a30,tb_only,tb_filtered_base,True,,,True,False,False,False,A30,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A31,a31,tb_only,tb_filtered_base,True,,,True,False,False,False,A31,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A32,a32,tb_only,tb_filtered_base,True,,,True,False,False,False,A32,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A33,a33,tb_only,tb_filtered_base,True,,,True,False,False,False,A33,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A34,a34,tb_only,tb_filtered_base,True,,,True,False,False,False,A34,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A35,a35,tb_only,tb_filtered_base,True,,,True,False,False,False,A35,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A36,a36,tb_only,tb_filtered_base,True,,,True,False,False,False,A36,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A37,a37,tb_only,tb_filtered_base,True,,,True,False,False,False,A37,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A38,a38,tb_only,tb_filtered_base,True,,,True,False,False,False,A38,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A39,a39,tb_only,tb_filtered_base,True,,,True,False,False,False,A39,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A40,a40,tb_only,tb_filtered_base,True,,,True,False,False,False,A40,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A41,a41,tb_only,tb_filtered_base,True,,,True,False,False,False,A41,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A42,a42,tb_only,tb_filtered_base,True,,,True,False,False,False,A42,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A43,a43,tb_only,tb_filtered_base,True,,,True,False,False,False,A43,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A44,a44,tb_only,tb_filtered_base,True,,,True,False,False,False,A44,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A45,a45,tb_only,tb_filtered_base,True,,,True,False,False,False,A45,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A46,a46,tb_only,tb_filtered_base,True,,,True,False,False,False,A46,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A47,a47,tb_only,tb_filtered_base,True,,,True,False,False,False,A47,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A48,a48,tb_only,tb_filtered_base,True,,,True,False,False,False,A48,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A49,a49,tb_only,tb_filtered_base,True,,,True,False,False,False,A49,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A50,a50,tb_only,tb_filtered_base,True,,,True,False,False,False,A50,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A51,a51,tb_only,tb_filtered_base,True,,,True,False,False,False,A51,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A52,a52,tb_only,tb_filtered_base,True,,,True,False,False,False,A52,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,A53,a53,tb_only,tb_filtered_base,True,,,True,False,False,False,A53,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,AAAAH,aaaah,tb_only,tb_filtered_base,True,,,True,False,False,False,AAAAH,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,es,Aaah,aaah,tb_only,tb_filtered_base,True,,,True,False,False,False,Aaah,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
WAKFU,es,AAARRRGGH,aaarrrggh,tb_only,tb_filtered_base,True,,,True,False,False,False,AAARRRGGH | Aaarrrggh,,,,,kept_neologism,,,,WAKFU,1,2,tb_only,kept_neologism,
DOFUS,es,Aaraknagolpe,aaraknagolpe,tb_only,tb_filtered_base,True,,,True,False,False,False,Aaraknagolpe,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
WAVEN,es,Aarón,aarón,tb_only,tb_filtered_base,True,,,True,False,False,False,Aarón,,,,,kept_neologism,,,,WAVEN,1,1,tb_only,kept_neologism,
DOFUS,es,Aasimar,aasimar,tb_only,tb_filtered_base,True,,,True,False,False,False,Aasimar,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
