game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
DOFUS,pt,1v1,1v1,tb_only,tb_filtered_base,True,interactive.406.name | interactive.407.name | interactive.408.name | map.name.230162947.name | map.name.230162951.name | map.name.230162955.name | map.name.230162959.name | map.name.230163971.name | map.name.230163975.name | map.name.230163979.name | map.name.230163983.name | map.name.230164995.name | map.name.230164999.name | map.name.230165003.name | map.name.230165007.name | map.name.230166019.name | map.name.230166023.name | map.name.230166027.name | map.name.230166031.name | map.name.230167043.name | map.name.230167047.name | map.name.230167051.name | map.name.230167055.name | map.name.230168067.name | map.name.230168071.name | map.name.230168075.name | map.name.230169091.name | map.name.230169095.name | map.name.230169099.name | map.name.230170115.name | map.name.230170123.name | map.name.230171139.name | map.name.230171143.name | map.name.230171147.name | map.name.230172163.name | map.name.230172167.name | map.name.230172171.name | map.name.230173187.name | map.name.230173191.name | map.name.230173195.name | map.name.230174211.name | map.name.230174215.name | map.name.230174219.name | map.name.230175239.name | map.name.230175243.name | map.name.230176267.name | map.name.230425091.name | map.name.230425095.name | map.name.230425099.name | map.name.230425103.name | map.name.230426115.name | map.name.230426119.name | map.name.230426123.name | map.name.230426127.name | map.name.230427139.name | map.name.230427143.name | map.name.230427147.name | map.name.230427151.name | map.name.230428163.name | map.name.230428167.name | map.name.230428171.name | map.name.230428175.name | map.name.230429187.name | map.name.230429191.name | map.name.230429195.name | map.name.230429199.name | map.name.230430211.name | map.name.230430215.name | map.name.230430219.name | map.name.230431235.name | map.name.230431239.name | map.name.230431243.name | map.name.230432259.name | map.name.230432267.name | map.name.230433283.name | map.name.230433287.name | map.name.230433291.name | map.name.230434307.name | map.name.230434311.name | map.name.230434315.name | map.name.230435331.name | map.name.230435335.name | map.name.230435339.name | map.name.230436355.name | map.name.230436359.name | map.name.230436363.name | map.name.230437383.name | map.name.230437387.name | map.name.230438411.name | map.name.230687235.name | map.name.230687239.name | map.name.230687243.name | map.name.230687247.name | map.name.230688259.name | map.name.230688263.name | map.name.230688267.name | map.name.230688271.name | map.name.230689283.name | map.name.230689287.name | map.name.230689291.name | map.name.230689295.name | map.name.230690307.name | map.name.230690311.name | map.name.230690315.name | map.name.230690319.name | map.name.230691331.name | map.name.230691335.name | map.name.230691339.name | map.name.230691343.name | map.name.230692355.name | map.name.230692359.name | map.name.230692363.name | map.name.230693379.name | map.name.230693383.name | map.name.230693387.name | map.name.230694403.name | map.name.230694411.name | map.name.230695427.name | map.name.230695431.name | map.name.230695435.name | map.name.230696451.name | map.name.230696455.name | map.name.230696459.name | map.name.230697475.name | map.name.230697479.name | map.name.230697483.name | map.name.230698499.name | map.name.230698503.name | map.name.230698507.name | map.name.230699527.name | map.name.230699531.name | map.name.230700555.name,interactive:406,True,False,False,False,1v1,,,,,kept_neologism,,,
DOFUS,pt,2X25,2x25,tb_only,tb_filtered_base,True,object.31692.name,object:31692,True,False,False,False,2X25,,,,,kept_neologism,,,
DOFUS,pt,3v3,3v3,tb_only,tb_filtered_base,True,"interactive.409.name | interactive.410.name | interactive.411.name | map.name.230162945.name | map.name.230162949.name | map.name.230162953.name | map.name.230162957.name | map.name.230163969.name | map.name.230163973.name | map.name.230163977.name | map.name.230163981.name | map.name.230164993.name | map.name.230164997.name | map.name.230165001.name | map.name.230165005.name | map.name.230166017.name | map.name.230166021.name | map.name.230166025.name | map.name.230166029.name | map.name.230167041.name | map.name.230167045.name | map.name.230167049.name | map.name.230167053.name | map.name.230168065.name | map.name.230168069.name | map.name.230168073.name | map.name.230169089.name | map.name.230169093.name | map.name.230169097.name | map.name.230170113.name | map.name.230170121.name | map.name.230171137.name | map.name.230171141.name | map.name.230171145.name | map.name.230172161.name | map.name.230172165.name | map.name.230172169.name | map.name.230173185.name | map.name.230173189.name | map.name.230173193.name | map.name.230174209.name | map.name.230174213.name | map.name.230174217.name | map.name.230175237.name | map.name.230175241.name | map.name.230176265.name | map.name.230425089.name | map.name.230425093.name | map.name.230425097.name | map.name.230425101.name | map.name.230426113.name | map.name.230426117.name | map.name.230426121.name | map.name.230426125.name | map.name.230427137.name | map.name.230427141.name | map.name.230427145.name | map.name.230427149.name | map.name.230428161.name | map.name.230428165.name | map.name.230428169.name | map.name.230428173.name | map.name.230429185.name | map.name.230429189.name | map.name.230429193.name | map.name.230429197.name | map.name.230430209.name | map.name.230430213.name | map.name.230430217.name | map.name.230431233.name | map.name.230431237.name | map.name.230431241.name | map.name.230432257.name | map.name.230432265.name | map.name.230433281.name | map.name.230433285.name | map.name.230433289.name | map.name.230434305.name | map.name.230434309.name | map.name.230434313.name | map.name.230435329.name | map.name.230435333.name | map.name.230435337.name | map.name.230436353.name | map.name.230436357.name | map.name.230436361.name | map.name.230437381.name | map.name.230437385.name | map.name.230438409.name | map.name.230687233.name | map.name.230687237.name, map.name.233308164.name | map.name.230687241.name, map.name.233308168.name | map.name.230687245.name, map.name.233308172.name | map.name.230688257.name, map.name.233309184.name | map.name.230688261.name, map.name.233309188.name | map.name.230688265.name, map.name.233309192.name | map.name.230688269.name, map.name.233309196.name | map.name.230689281.name, map.name.233310208.name | map.name.230689285.name, map.name.233310212.name | map.name.230689289.name, map.name.233310216.name | map.name.230689293.name, map.name.233310220.name | map.name.230690305.name, map.name.233311232.name | map.name.230690309.name, map.name.233311236.name | map.name.230690313.name, map.name.233311240.name | map.name.230690317.name, map.name.233311244.name | map.name.230691329.name, map.name.233312256.name | map.name.230691333.name, map.name.233312260.name | map.name.230691337.name, map.name.233312264.name | map.name.230691341.name, map.name.233312268.name | map.name.230692353.name, map.name.233313280.name | map.name.230692357.name | map.name.230692361.name, map.name.233313288.name | map.name.230693377.name, map.name.233314304.name | map.name.230693381.name, map.name.233314308.name | map.name.230693385.name, map.name.233314312.name | map.name.230694401.name, map.name.233315328.name | map.name.230694409.name, map.name.233315336.name | map.name.230695425.name, map.name.233316352.name | map.name.230695429.name, map.name.233316356.name | map.name.230695433.name, map.name.233316360.name | map.name.230696449.name, map.name.233317376.name | map.name.230696453.name, map.name.233317380.name | map.name.230696457.name, map.name.233317384.name | map.name.230697473.name, map.name.233318400.name | map.name.230697477.name, map.name.233318404.name | map.name.230697481.name, map.name.233318408.name | map.name.230698497.name, map.name.233319424.name | map.name.230698501.name, map.name.233319428.name | map.name.230698505.name, map.name.233319432.name | map.name.230699525.name, map.name.233320452.name | map.name.230699529.name, map.name.233320456.name | map.name.230700553.name, map.name.233321480.name",interactive:409,True,False,False,False,3v3,,,,,kept_neologism,,,
DOFUS,pt,A-Gyō,a-gyō,tb_only,tb_filtered_base,True,"state.2387.name, spell.20020.name",state:2387,True,False,False,False,A-Gyō,,,,,kept_neologism,,,
DOFUS,pt,A10,a10,tb_only,tb_filtered_base,True,map.name.170394626.name,map:name,True,False,False,False,A10,,,,,kept_neologism,,,
DOFUS,pt,A11,a11,tb_only,tb_filtered_base,True,map.name.230162945.name | map.name.230162947.name,map:name,True,False,False,False,A11,,,,,kept_neologism,,,
DOFUS,pt,A12,a12,tb_only,tb_filtered_base,True,map.name.230163969.name | map.name.230163971.name,map:name,True,False,False,False,A12,,,,,kept_neologism,,,
DOFUS,pt,A13,a13,tb_only,tb_filtered_base,True,map.name.230164993.name | map.name.230164995.name,map:name,True,False,False,False,A13,,,,,kept_neologism,,,
DOFUS,pt,A14,a14,tb_only,tb_filtered_base,True,map.name.230166017.name | map.name.230166019.name,map:name,True,False,False,False,A14,,,,,kept_neologism,,,
DOFUS,pt,A15,a15,tb_only,tb_filtered_base,True,map.name.230167041.name | map.name.230167043.name,map:name,True,False,False,False,A15,,,,,kept_neologism,,,
