token,token_lower,tb_key,status,match_type
1st,1st,,removed_known_word,dictionary_form
A-plundering,a-plundering,quest-step.495.name,kept_neologism,
Ab'ho,ab'ho,item.7123.name,kept_neologism,
Abandoned,abandoned,,removed_known_word,dictionary_form
Abatz,abatz,item.7199.name,kept_neologism,
Abebeh,abebeh,item.3744.name,kept_neologism,
Abefun,abefun,item.4017.name,kept_neologism,
Abely,abely,npc.63.name,kept_neologism,
Abewolu,abewolu,item.5329.name,kept_neologism,
Ability,ability,,removed_known_word,dictionary_form
Abipaca,abipaca,item.5828.name,kept_neologism,
Abir,abir,npc.464.name,kept_neologism,
Ablaru,ablaru,npc.964.name,kept_neologism,
Abolition,abolition,,removed_known_word,dictionary_form
Abominable,abominable,,removed_known_word,dictionary_form
Abomirol,abomirol,item.3561.name,kept_neologism,
Aboub,aboub,item.15137.name | monster.353.name | monster.355.name | monster.384.name | ttg_entity.384.name,kept_neologism,
Abounteous,abounteous,monster.2384.name,kept_neologism,
Abrazelon,abrazelon,npc.497.name,kept_neologism,
Absorption,absorption,,removed_known_word,dictionary_form
Absorptive,absorptive,,removed_known_word,dictionary_form
Abyssal,abyssal,,removed_known_word,dictionary_form
Acabague,acabague,item.4559.name,kept_neologism,
Acaplut,acaplut,item.4664.name,kept_neologism,
Acceleration,acceleration,,removed_known_word,dictionary_form
Access,access,,removed_known_word,dictionary_form
Ace,ace,,removed_known_word,dictionary_form
Acebavec,acebavec,item.6109.name,kept_neologism,
Acebugu,acebugu,item.6234.name,kept_neologism,
Acehofa,acehofa,item.3675.name,kept_neologism,
Acero,acero,item.4952.name,kept_neologism,
Achilles,achilles,,removed_known_word,dictionary_form
Acidrik,acidrik,npc.729.name | quest-step.215.name | quest-step.216.name | quest-step.217.name | quest.127.name,kept_neologism,
Aclou,aclou,item.1399.name | item.766.name,kept_neologism,
Acoca,acoca,item.5910.name,kept_neologism,
Acofituf,acofituf,item.4662.name,kept_neologism,
Acorn,acorn,,removed_known_word,dictionary_form
Acoseude,acoseude,item.3854.name,kept_neologism,
Across,across,,removed_known_word,dictionary_form
Actio,actio,item.16002.name | item.16013.name | item.16024.name | item.16338.name | item.16339.name | item.16340.name,kept_neologism,
Action,action,,removed_known_word,dictionary_form
Activate,activate,,removed_known_word,dictionary_form
Activities,activities,,removed_known_word,dictionary_form
Acudob,acudob,item.5609.name,kept_neologism,
Acugrau,acugrau,item.5372.name,kept_neologism,
Aculepa,aculepa,item.3885.name,kept_neologism,
Acute,acute,,removed_known_word,dictionary_form
Acuteness,acuteness,,removed_known_word,dictionary_form
Adaga,adaga,item.4962.name,kept_neologism,
Adageola,adageola,item.6151.name,kept_neologism,
Adamu,adamu,item.3867.name,kept_neologism,
Adaumu,adaumu,item.2941.name,kept_neologism,
Added,added,,removed_known_word,dictionary_form
Addiction,addiction,,removed_known_word,dictionary_form
Additional,additional,,removed_known_word,dictionary_form
Address,address,,removed_known_word,dictionary_form
Adelus,adelus,item.1487.name,kept_neologism,
Adepouille,adepouille,item.2742.name,kept_neologism,
Adili,adili,item.3275.name,kept_neologism,
Adin,adin,item.7218.name,kept_neologism,
Adjusting,adjusting,,removed_known_word,dictionary_form
Admission,admission,,removed_known_word,dictionary_form
Adode,adode,item.2933.name,kept_neologism,
Adonop,adonop,item.3622.name,kept_neologism,
Adossia,adossia,item.8649.name,kept_neologism,
Adrenaline,adrenaline,,removed_known_word,dictionary_form
Advent,advent,,removed_known_word,dictionary_form
Adventure,adventure,,removed_known_word,dictionary_form
Adventurer,adventurer,,removed_known_word,dictionary_form
Adventurous,adventurous,,removed_known_word,dictionary_form
Adviser,adviser,,removed_known_word,dictionary_form
Advisor,advisor,,removed_known_word,dictionary_form
Adydele,adydele,item.5475.name,kept_neologism,
Aegefauc,aegefauc,item.4946.name,kept_neologism,
Aegishield,aegishield,item.11757.name,kept_neologism,
Aekawaul,aekawaul,item.5758.name,kept_neologism,
Aelab,aelab,item.3166.name,kept_neologism,
Aeladague,aeladague,item.3835.name,kept_neologism,
Aelefoma,aelefoma,item.3717.name,kept_neologism,
Aelelae,aelelae,item.3592.name,kept_neologism,
Aelelydae,aelelydae,item.6340.name,kept_neologism,
Aelewawac,aelewawac,item.3177.name,kept_neologism,
Aelilotte,aelilotte,item.5287.name,kept_neologism,
Aelomul,aelomul,item.4897.name,kept_neologism,
Aelowawe,aelowawe,item.3189.name,kept_neologism,
Aelowiw,aelowiw,item.5579.name,kept_neologism,
Aeloworau,aeloworau,item.5304.name,kept_neologism,
Aelulae,aelulae,item.5777.name,kept_neologism,
Aelusato,aelusato,item.5674.name,kept_neologism,
Aelyake,aelyake,item.3122.name,kept_neologism,
Aenon,aenon,item.4493.name,kept_neologism,
Aer,aer,item.16008.name | item.16019.name | item.16290.name | item.16291.name | item.16292.name | item.16308.name | item.16309.name | item.16310.name | item.16326.name | item.16327.name | item.16328.name,kept_neologism,
Aerafacape,aerafacape,item.13024.name,kept_neologism,
Aerafal,aerafal,item.13081.name | item.13087.name | quest.557.name,kept_neologism,
Aerafashield,aerafashield,item.13025.name,kept_neologism,
Aerafelmet,aerafelmet,item.13023.name,kept_neologism,
Aerdala,aerdala,item.13162.name | item.7229.name | item.7233.name | item.7237.name | item.7241.name | item.7245.name | item.7249.name | item.7253.name | item.7256.name | item.7344.name | item.7427.name | item.9030.name | monster.508.name | monster.509.name | monster.540.name | monster.542.name | npc.642.name | npc.643.name | quest-step.169.name | set.35.name | spell.3024.name | subarea.108.name | subarea.111.name | subarea.115.name | subarea.120.name,kept_neologism,
Aerial,aerial,,removed_known_word,dictionary_form
Aermyne,aermyne,item.15248.name | item.7350.name | monster.446.name | npc.686.name | quest.119.name | ttg_entity.446.name,kept_neologism,
Aerogoburius,aerogoburius,item.8376.name | monster.904.name,kept_neologism,
Aeroktor,aeroktor,item.8371.name | monster.894.name,kept_neologism,
Aerolance,aerolance,spell.1798.name,kept_neologism,
Aerolian,aerolian,spell.1790.name | spell.1791.name,kept_neologism,
Afapisu,afapisu,item.6089.name,kept_neologism,
Afekileg,afekileg,item.4611.name,kept_neologism,
Afelezu,afelezu,item.3389.name,kept_neologism,
Afelolap,afelolap,item.4143.name,kept_neologism,
Afesifru,afesifru,item.5057.name,kept_neologism,
Afidpur,afidpur,item.5586.name,kept_neologism,
Afikek,afikek,item.4542.name,kept_neologism,
Afilu,afilu,item.3767.name,kept_neologism,
Afirufel,afirufel,item.4752.name,kept_neologism,
Afogosak,afogosak,item.4710.name,kept_neologism,
Afoluse,afoluse,item.5473.name,kept_neologism,
Afriolu,afriolu,item.3832.name,kept_neologism,
Afroseso,afroseso,item.4445.name,kept_neologism,
After,after,,removed_known_word,dictionary_form
Afucoma,afucoma,item.5752.name,kept_neologism,
Afutfrit,afutfrit,item.4176.name,kept_neologism,
Aga,aga,,removed_known_word,dictionary_form
Agaboo,agaboo,item.2922.name,kept_neologism,
Agaceto,agaceto,item.2731.name,kept_neologism,
Agaeb,agaeb,item.5877.name,kept_neologism,
Agaglou,agaglou,item.5353.name,kept_neologism,
Again,again,,removed_known_word,dictionary_form
Against,against,,removed_known_word,dictionary_form
Agakur,agakur,item.3621.name,kept_neologism,
Agalomo,agalomo,item.3354.name,kept_neologism,
Agathe,agathe,,removed_known_word,dictionary_form
Age,age,,removed_known_word,dictionary_form
Aged,aged,,removed_known_word,dictionary_form
Aged-Aunts,aged-aunts,quest.49.name,kept_neologism,
Agele,agele,item.3994.name,kept_neologism,
Agency,agency,,removed_known_word,dictionary_form
Agent,agent,,removed_known_word,dictionary_form
Aggressive,aggressive,,removed_known_word,dictionary_form
Agility,agility,,removed_known_word,dictionary_form
Agimnef,agimnef,item.5118.name,kept_neologism,
Agino,agino,item.2951.name,kept_neologism,
Agoconaw,agoconaw,item.4020.name,kept_neologism,
Agony,agony,,removed_known_word,dictionary_form
Agram,agram,npc.737.name,kept_neologism,
