token,token_lower,tb_key,status,match_type
1era,1era,quest-step.418.name,kept_neologism,
Abanico,abanico,,removed_known_word,dictionary_form
Abdominal,abdominal,,removed_known_word,dictionary_form
Abebeh,abebeh,item.3744.name,kept_neologism,
Abefun,abefun,item.4017.name,kept_neologism,
Abel,abel,,removed_known_word,dictionary_form
Abewolu,abewolu,item.5329.name,kept_neologism,
Abipaca,abipaca,item.5828.name,kept_neologism,
Abir,abir,npc.464.name,kept_neologism,
Abisal,abisal,,removed_known_word,dictionary_form
Abisales,abisales,,removed_known_word,dictionary_form
Abismos,abismos,,removed_known_word,dictionary_form
Ablación,ablación,,removed_known_word,dictionary_form
Abnegación,abnegación,,removed_known_word,dictionary_form
Abolición,abolición,,removed_known_word,dictionary_form
Abollado,abollado,,removed_known_word,dictionary_form
Abominable,abominable,,removed_known_word,dictionary_form
Abomirol,abomirol,item.3561.name,kept_neologism,
Abono,abono,,removed_known_word,dictionary_form
Abordaje,abordaje,,removed_known_word,dictionary_form
Abra,abra,,removed_known_word,dictionary_form
Abrabotas,abrabotas,item.2423.name,kept_neologism,
Abracadabra,abracadabra,,removed_known_word,dictionary_form
Abracapa,abracapa,item.948.name,kept_neologism,
Abracaska,abracaska,item.2410.name | item.8463.name,kept_neologism,
Abracinto,abracinto,item.2429.name,kept_neologism,
Abrajidor,abrajidor,item.15397.name | item.15405.name | item.8784.name | item.8785.name | item.8796.name | item.8797.name | item.8822.name | item.8823.name | item.8834.name | item.8835.name | item.8869.name | item.8870.name | item.8871.name | monster.1047.name | monster.1077.name | set.79.name | set.80.name | ttg_entity.1047.name | ttg_entity.1077.name,kept_neologism,
Abrajinieves,abrajinieves,monster.2544.name,kept_neologism,
Abrakadabra,abrakadabra,monster.2389.name | quest-step.514.name,kept_neologism,
Abrakapa,abrakapa,item.2413.name | item.8464.name,kept_neologism,
Abrakeponerse,abrakeponerse,monster.2388.name,kept_neologism,
Abraknación,abraknación,spell.482.name,kept_neologism,
Abrakno,abrakno,item.15172.name | item.15175.name | monster.650.name | monster.651.name | monster.992.name | ttg_entity.650.name | ttg_entity.651.name,kept_neologism,
Abraknydi,abraknydi,item.791.name,kept_neologism,
Abraknídeo,abraknídeo,item.14018.name | ttg_family.18.name,kept_neologism,
Abrakíledo,abrakíledo,monster.2309.name,kept_neologism,
Abramú,abramú,item.1619.name,kept_neologism,
Abranillo,abranillo,item.1559.name | item.1602.name | item.836.name,kept_neologism,
Abrarama,abrarama,spell.485.name,kept_neologism,
Abrarco,abrarco,item.1620.name,kept_neologism,
Abratura,abratura,item.8468.name,kept_neologism,
Abrazo,abrazo,,removed_known_word,dictionary_form
Abrazolargo,abrazolargo,npc.497.name,kept_neologism,
Abrevadero,abrevadero,,removed_known_word,dictionary_form
Abrigo,abrigo,,removed_known_word,dictionary_form
Abrir,abrir,,removed_known_word,dictionary_form
Abroesidor,abroesidor,monster.2381.name,kept_neologism,
Abrákllota,abrákllota,item.10664.name,kept_neologism,
Abrákneo,abrákneo,monster.2385.name,kept_neologism,
Abráknida,abráknida,area.27.name | item.1722.name | item.7557.name | item.8449.name | subarea.175.name,kept_neologism,
Abráknido,abráknido,item.10259.name | item.10489.name | item.13103.name | item.13159.name | item.15170.name | item.15174.name | item.15178.name | item.15462.name | item.1610.name | item.1611.name | item.1612.name | item.1660.name | item.1985.name | item.434.name | item.435.name | item.436.name | item.437.name | item.462.name | item.464.name | item.469.name | item.501.name | item.6496.name | item.7086.name | item.792.name | item.8494.name | item.8495.name | item.8496.name | item.9009.name | item.927.name | monster.173.name | monster.253.name | monster.254.name | monster.2771.name | monster.2966.name | monster.47.name | monster.919.name | monster.989.name | monster.991.name | quest.79.name | ride_family.4.name | set.3.name | ttg_entity.173.name | ttg_entity.253.name | ttg_entity.2966.name | ttg_entity.47.name,kept_neologism,
Abráknidos,abráknidos,area.6.name | dungeon.19.name | hint.303.name | item.1567.name | item.923.name | subarea.168.name | subarea.169.name | subarea.33.name,kept_neologism,
Absorbente,absorbente,,removed_known_word,dictionary_form
Absorción,absorción,,removed_known_word,dictionary_form
Absorto,absorto,,removed_known_word,dictionary_form
Abub,abub,item.15137.name | monster.353.name | monster.355.name | monster.384.name | ttg_entity.384.name,kept_neologism,
Abubanero,abubanero,monster.2384.name,kept_neologism,
Abuela,abuela,,removed_known_word,dictionary_form
Abuelita,abuelita,item.7037.name,kept_neologism,
Abuelito,abuelito,item.15028.name | monster.99.name | ttg_entity.99.name,kept_neologism,
Abulita,abulita,npc.391.name,kept_neologism,
Aburrido,aburrido,,removed_known_word,dictionary_form
Abustin,abustin,monster.2498.name,kept_neologism,
Abá,abá,monster.2276.name,kept_neologism,
Acabague,acabague,item.4559.name,kept_neologism,
Acabaremos,acabaremos,,removed_known_word,dictionary_form
Acaplut,acaplut,item.4664.name,kept_neologism,
Acariciador,acariciador,,removed_known_word,dictionary_form
Acceder,acceder,,removed_known_word,dictionary_form
Accionar,accionar,,removed_known_word,dictionary_form
Acebavec,acebavec,item.6109.name,kept_neologism,
Acebugu,acebugu,item.6234.name,kept_neologism,
Acehofa,acehofa,item.3675.name,kept_neologism,
Aceite,aceite,,removed_known_word,dictionary_form
Aceleración,aceleración,,removed_known_word,dictionary_form
Aceradas,aceradas,,removed_known_word,dictionary_form
Acero,acero,,removed_known_word,dictionary_form
Acidrik,acidrik,npc.729.name | quest-step.215.name | quest-step.216.name | quest-step.217.name | quest.127.name,kept_neologism,
Acoca,acoca,,removed_known_word,dictionary_form
Acofituf,acofituf,item.4662.name,kept_neologism,
Acomplejado,acomplejado,,removed_known_word,dictionary_form
Acosadora,acosadora,,removed_known_word,dictionary_form
Acoseude,acoseude,item.3854.name,kept_neologism,
Acoso,acoso,,removed_known_word,dictionary_form
Acostarse,acostarse,,removed_known_word,dictionary_form
Acta,acta,,removed_known_word,dictionary_form
Actio,actio,item.16002.name | item.16013.name | item.16024.name | item.16338.name | item.16339.name | item.16340.name,kept_neologism,
Actitud,actitud,,removed_known_word,dictionary_form
Actividad,actividad,,removed_known_word,dictionary_form
Acuabola,acuabola,spell.1915.name,kept_neologism,
Acualikros,acualikros,item.8374.name,kept_neologism,
Acudob,acudob,item.5609.name,kept_neologism,
Acuerdo,acuerdo,,removed_known_word,dictionary_form
Acugrau,acugrau,item.5372.name,kept_neologism,
Aculepa,aculepa,item.3885.name,kept_neologism,
Acuosa,acuosa,,removed_known_word,dictionary_form
Acuoso,acuoso,,removed_known_word,dictionary_form
Acuálanza,acuálanza,spell.1799.name,kept_neologism,
Acuático,acuático,,removed_known_word,dictionary_form
Adaga,adaga,item.4962.name,kept_neologism,
Adageola,adageola,item.6151.name,kept_neologism,
Adamu,adamu,item.3867.name,kept_neologism,
Adaumu,adaumu,item.2941.name,kept_neologism,
Adekabra,adekabra,npc.814.name,kept_neologism,
Adelante,adelante,,removed_known_word,dictionary_form
Adelus,adelus,item.1487.name,kept_neologism,
Adepouille,adepouille,item.2742.name,kept_neologism,
Adepto,adepto,,removed_known_word,dictionary_form
Adili,adili,item.3275.name,kept_neologism,
Adode,adode,item.2933.name,kept_neologism,
Adonop,adonop,item.3622.name,kept_neologism,
Adorno,adorno,,removed_known_word,dictionary_form
Adrenalina,adrenalina,,removed_known_word,dictionary_form
Adron,adron,npc.1162.name,kept_neologism,
Adydele,adydele,item.5475.name,kept_neologism,
Aegefauc,aegefauc,item.4946.name,kept_neologism,
Aekawaul,aekawaul,item.5758.name,kept_neologism,
Aelab,aelab,item.3166.name,kept_neologism,
Aeladague,aeladague,item.3835.name,kept_neologism,
Aelefoma,aelefoma,item.3717.name,kept_neologism,
Aelelae,aelelae,item.3592.name,kept_neologism,
Aelelydae,aelelydae,item.6340.name,kept_neologism,
Aelewawac,aelewawac,item.3177.name,kept_neologism,
Aelilotte,aelilotte,item.5287.name,kept_neologism,
Aelomul,aelomul,item.4897.name,kept_neologism,
Aelowawe,aelowawe,item.3189.name,kept_neologism,
Aelowiw,aelowiw,item.5579.name,kept_neologism,
Aeloworau,aeloworau,item.5304.name,kept_neologism,
Aelulae,aelulae,item.5777.name,kept_neologism,
Aelusato,aelusato,item.5674.name,kept_neologism,
Aelyake,aelyake,item.3122.name,kept_neologism,
Aenon,aenon,item.4493.name,kept_neologism,
Aer,aer,item.16008.name | item.16019.name | item.16290.name | item.16291.name | item.16292.name | item.16308.name | item.16309.name | item.16310.name | item.16326.name | item.16327.name | item.16328.name,kept_neologism,
Aerafal,aerafal,quest.557.name,kept_neologism,
Aermyn,aermyn,item.15248.name | item.7350.name | monster.446.name | npc.686.name | quest.119.name | ttg_entity.446.name,kept_neologism,
Aerodinámico,aerodinámico,,removed_known_word,dictionary_form
Aerohuctor,aerohuctor,item.8371.name | monster.894.name,kept_neologism,
Aerotrugobur,aerotrugobur,item.8376.name | monster.904.name,kept_neologism,
Afapisu,afapisu,item.6089.name,kept_neologism,
Afeitado,afeitado,,removed_known_word,dictionary_form
Afeitadora,afeitadora,,removed_known_word,dictionary_form
Afekileg,afekileg,item.4611.name,kept_neologism,
Afelezu,afelezu,item.3389.name,kept_neologism,
Afelolap,afelolap,item.4143.name,kept_neologism,
Afesifru,afesifru,item.5057.name,kept_neologism,
Afidpur,afidpur,item.5586.name,kept_neologism,
Afikek,afikek,item.4542.name,kept_neologism,
Afilada,afilada,,removed_known_word,dictionary_form
Afiladas,afiladas,,removed_known_word,dictionary_form
Afilado,afilado,,removed_known_word,dictionary_form
Afilar,afilar,,removed_known_word,dictionary_form
Afilu,afilu,item.3767.name,kept_neologism,
Afirufel,afirufel,item.4752.name,kept_neologism,
Afogosak,afogosak,item.4710.name,kept_neologism,
Afoluse,afoluse,item.5473.name,kept_neologism,
Afortunado,afortunado,,removed_known_word,dictionary_form
Afrancesado,afrancesado,,removed_known_word,dictionary_form
Afriolu,afriolu,item.3832.name,kept_neologism,
Afroseso,afroseso,item.4445.name,kept_neologism,
Afrutado,afrutado,monster.2937.name,kept_neologism,
Afucoma,afucoma,item.5752.name,kept_neologism,
Afutfrit,afutfrit,item.4176.name,kept_neologism,
Afónico,afónico,,removed_known_word,dictionary_form
Agaboo,agaboo,item.2922.name,kept_neologism,
Agaceto,agaceto,item.2731.name,kept_neologism,
Agaeb,agaeb,item.5877.name,kept_neologism,
Agaglou,agaglou,item.5353.name,kept_neologism,
Agakur,agakur,item.3621.name,kept_neologism,
Agalla,agalla,,removed_known_word,dictionary_form
Agalomo,agalomo,item.3354.name,kept_neologism,
