token,token_lower,tb_key,status,match_type
Abacabotas,abacabotas,item.8341.name | item.8895.name,kept_neologism,
Abacachila,abacachila,item.7581.name | item.8897.name,kept_neologism,
Abacamáscara,abacamáscara,item.7422.name | item.8893.name,kept_neologism,
Abacapa,abacapa,item.7999.name | item.8894.name,kept_neologism,
Abacaxi,abacaxi,,removed_known_word,dictionary_form
Abalado,abalado,,removed_known_word,dictionary_form
Abalo,abalo,,removed_known_word,dictionary_form
Abandonada,abandonada,,removed_known_word,dictionary_form
Abandonado,abandonado,,removed_known_word,dictionary_form
Abastado,abastado,,removed_known_word,dictionary_form
Abebeh,abebeh,item.3744.name,kept_neologism,
Abefun,abefun,item.4017.name,kept_neologism,
Abelha,abelha,,removed_known_word,dictionary_form
Abelhuda,abelhuda,,removed_known_word,dictionary_form
Abelhudo,abelhudo,,removed_known_word,dictionary_form
Abely,abely,npc.63.name,kept_neologism,
Aberto,aberto,,removed_known_word,dictionary_form
Abertura,abertura,,removed_known_word,dictionary_form
Abewolu,abewolu,item.5329.name,kept_neologism,
Abipaca,abipaca,item.5828.name,kept_neologism,
Abir,abir,,removed_known_word,dictionary_form
Abissal,abissal,,removed_known_word,dictionary_form
Abissalino,abissalino,item.15223.name | monster.1219.name | ttg_entity.1219.name,kept_neologism,
Ablaru,ablaru,npc.964.name,kept_neologism,
Abolição,abolição,,removed_known_word,dictionary_form
Abominável,abominável,,removed_known_word,dictionary_form
Abomirol,abomirol,item.3561.name,kept_neologism,
Abordagem,abordagem,,removed_known_word,dictionary_form
Aboub,aboub,item.15137.name | monster.2384.name | monster.353.name | monster.355.name | monster.384.name | ttg_entity.384.name,kept_neologism,
Abracadabra,abracadabra,,removed_known_word,dictionary_form
Abraknyde,abraknyde,item.10489.name,kept_neologism,
Abrazelon,abrazelon,npc.497.name,kept_neologism,
Abraço,abraço,,removed_known_word,dictionary_form
Abrir,abrir,,removed_known_word,dictionary_form
Absorto,absorto,,removed_known_word,dictionary_form
Absorvente,absorvente,,removed_known_word,dictionary_form
Absorção,absorção,,removed_known_word,dictionary_form
Abóbora,abóbora,,removed_known_word,dictionary_form
Abópota,abópota,item.8162.name,kept_neologism,
Acabague,acabague,item.4559.name,kept_neologism,
Acalmador,acalmador,,removed_known_word,dictionary_form
Acampamento,acampamento,,removed_known_word,dictionary_form
Acaplut,acaplut,item.4664.name,kept_neologism,
Ace,ace,npc.358.name,kept_neologism,
Acebavec,acebavec,item.6109.name,kept_neologism,
Acebugu,acebugu,item.6234.name,kept_neologism,
Acehofa,acehofa,item.3675.name,kept_neologism,
Aceleração,aceleração,,removed_known_word,dictionary_form
Acenar,acenar,,removed_known_word,dictionary_form
Acentuação,acentuação,,removed_known_word,dictionary_form
Acero,acero,,removed_known_word,dictionary_form
Acerto,acerto,,removed_known_word,dictionary_form
Acessar,acessar,,removed_known_word,dictionary_form
Achatamento,achatamento,,removed_known_word,dictionary_form
Ache,ache,,removed_known_word,dictionary_form
Acidrik,acidrik,npc.729.name | quest-step.215.name | quest-step.216.name | quest-step.217.name | quest.127.name,kept_neologism,
Aclou,aclou,item.1399.name | item.766.name,kept_neologism,
Acoca,acoca,,removed_known_word,dictionary_form
Acofituf,acofituf,item.4662.name,kept_neologism,
Acomodado,acomodado,,removed_known_word,dictionary_form
Acompanhando,acompanhando,,removed_known_word,dictionary_form
Acordado,acordado,,removed_known_word,dictionary_form
Acorde,acorde,,removed_known_word,dictionary_form
Acordo,acordo,,removed_known_word,dictionary_form
Acoseude,acoseude,item.3854.name,kept_neologism,
Actio,actio,item.16002.name | item.16013.name | item.16024.name | item.16338.name | item.16339.name | item.16340.name,kept_neologism,
Acudob,acudob,item.5609.name,kept_neologism,
Acugrau,acugrau,item.5372.name,kept_neologism,
Acuidade,acuidade,,removed_known_word,dictionary_form
Aculepa,aculepa,item.3885.name,kept_neologism,
Acusado,acusado,,removed_known_word,dictionary_form
Adaga,adaga,,removed_known_word,dictionary_form
AdagaUletet,adagauletet,item.3630.name,kept_neologism,
Adagas,adagas,,removed_known_word,dictionary_form
Adageola,adageola,item.6151.name,kept_neologism,
Adaguisas,adaguisas,item.897.name,kept_neologism,
Adaguises,adaguises,item.899.name,kept_neologism,
Adamu,adamu,item.3867.name,kept_neologism,
Adaumu,adaumu,item.2941.name,kept_neologism,
Ade,ade,,removed_known_word,dictionary_form
Adelus,adelus,item.1487.name,kept_neologism,
Adepouille,adepouille,item.2742.name,kept_neologism,
Adepto,adepto,,removed_known_word,dictionary_form
Adili,adili,item.3275.name,kept_neologism,
Adin,adin,,removed_known_word,dictionary_form
Adode,adode,item.2933.name,kept_neologism,
Adonop,adonop,item.3622.name,kept_neologism,
Adormecido,adormecido,,removed_known_word,dictionary_form
Adossia,adossia,item.8649.name,kept_neologism,
Adrenalina,adrenalina,,removed_known_word,dictionary_form
Adulta,adulta,,removed_known_word,dictionary_form
Advento,advento,,removed_known_word,dictionary_form
Adydele,adydele,item.5475.name,kept_neologism,
Aegefauc,aegefauc,item.4946.name,kept_neologism,
Aekawaul,aekawaul,item.5758.name,kept_neologism,
Aelab,aelab,item.3166.name,kept_neologism,
Aeladague,aeladague,item.3835.name,kept_neologism,
Aelefoma,aelefoma,item.3717.name,kept_neologism,
Aelelae,aelelae,item.3592.name,kept_neologism,
Aelelydae,aelelydae,item.6340.name,kept_neologism,
Aelewawac,aelewawac,item.3177.name,kept_neologism,
Aelilotte,aelilotte,item.5287.name,kept_neologism,
Aelomul,aelomul,item.4897.name,kept_neologism,
Aelowawe,aelowawe,item.3189.name,kept_neologism,
Aelowiw,aelowiw,item.5579.name,kept_neologism,
Aeloworau,aeloworau,item.5304.name,kept_neologism,
Aelulae,aelulae,item.5777.name,kept_neologism,
Aelusato,aelusato,item.5674.name,kept_neologism,
Aelyake,aelyake,item.3122.name,kept_neologism,
Aenon,aenon,item.4493.name,kept_neologism,
Aer,aer,item.16008.name | item.16019.name | item.16290.name | item.16291.name | item.16292.name | item.16308.name | item.16309.name | item.16310.name | item.16326.name | item.16327.name | item.16328.name,kept_neologism,
Aera,aera,monster.2895.name,kept_neologism,
Aerafal,aerafal,item.13081.name | item.13087.name | quest.557.name,kept_neologism,
Aerda,aerda,item.7241.name,kept_neologism,
Aerdala,aerdala,item.7229.name | item.7233.name | item.7237.name | item.7245.name | item.7249.name | item.7253.name | item.7256.name | item.7344.name | item.7427.name | item.9030.name | monster.508.name | monster.509.name | monster.540.name | monster.542.name | npc.642.name | npc.643.name | quest-step.169.name | set.35.name | subarea.108.name | subarea.111.name | subarea.115.name | subarea.120.name,kept_neologism,
Aermyne,aermyne,item.15248.name | item.7350.name | monster.446.name | npc.686.name | quest.119.name | ttg_entity.446.name,kept_neologism,
Aerogoburius,aerogoburius,item.8376.name | monster.904.name,kept_neologism,
Aeroktor,aeroktor,item.8371.name | monster.894.name,kept_neologism,
Aeronaves,aeronaves,,removed_known_word,dictionary_form
Afapisu,afapisu,item.6089.name,kept_neologism,
Afastado,afastado,,removed_known_word,dictionary_form
Afastamento,afastamento,,removed_known_word,dictionary_form
