game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
WAKFU,en,A-Changing,a-changing,tb_only,tb_filtered_base,True,State.name.5851,State:name,True,False,False,False,A-Changing,,,,,kept_neologism,,,
WAKFU,en,A-String,a-string,tb_only,tb_filtered_base,True,Item.name.24240,Item:name,True,False,False,False,A-String,,,,,kept_neologism,,,
WAKFU,en,Aaarrrggh,aaarrrggh,tb_only,tb_filtered_base,True,State.name.1885,State:name,True,False,False,False,Aaarrrggh,,,,,kept_neologism,,,
WAKFU,en,Abador,abador,tb_only,tb_filtered_base,True,Ambience Zone.name.1993,Ambience Zone:name,True,False,False,False,Abador,,,,,kept_neologism,,,
WAKFU,en,Abell,abell,tb_only,tb_filtered_base,True,"Item.name.25520, Item.name.25519, Item.name.11036",Item:name,True,False,False,False,Abell,,,,,kept_neologism,,,
WAKFU,en,Aboon,aboon,tb_only,tb_filtered_base,True,Item.name.19739 | Item.name.19740 | Item.name.28597,Item:name,True,False,False,False,Aboon,,,,,kept_neologism,,,
WAKFU,en,Aborr,aborr,tb_only,tb_filtered_base,True,"Item.name.10033, Item.name.10948, Item.name.10947, Item.name.10946, Item.name.10945",Item:name,True,False,False,False,Aborr,,,,,kept_neologism,,,
WAKFU,en,Aboum,aboum,tb_only,tb_filtered_base,True,"Item.name.14321 | Item.name.14389 | Item.name.25988, Item.name.25986, Item.name.15278, Item.name.25987 | Krosmaster Arena Figurines.name.10",Item:name,True,False,False,False,Aboum,,,,,kept_neologism,,,
WAKFU,en,About-Turn,about-turn,tb_only,tb_filtered_base,True,Item.name.28933 | State.name.6834,Item:name,True,False,False,False,About-Turn,,,,,kept_neologism,,,
WAKFU,en,Abrakobama,abrakobama,tb_only,tb_filtered_base,True,Spell.name.3476,Spell:name,True,False,False,False,Abrakobama,,,,,kept_neologism,,,
WAKFU,en,Abrandom,abrandom,tb_only,tb_filtered_base,True,Ambience Zone.name.1970,Ambience Zone:name,True,False,False,False,Abrandom,,,,,kept_neologism,,,
WAKFU,en,Abreastplate,abreastplate,tb_only,tb_filtered_base,True,"Item.name.22434, Item.name.19127, Item.name.22433 | Item.name.29543, Item.name.29542",Item:name,True,False,False,False,Abreastplate,,,,,kept_neologism,,,
WAKFU,en,Abribus,abribus,tb_only,tb_filtered_base,True,Achievement.achievement name.3979 | Monster.name.4098,Achievement:achievement name,True,False,False,False,Abribus,,,,,kept_neologism,,,
WAKFU,en,Absynteeism,absynteeism,tb_only,tb_filtered_base,True,"Instance.instance name.859, Ambience Zone.name.1322",Instance:instance name,True,False,False,False,Absynteeism,,,,,kept_neologism,,,
WAKFU,en,Accelerat,accelerat,tb_only,tb_filtered_base,True,"Monster.name.5559, Monster.name.1787",Monster:name,True,False,False,False,Accelerat,,,,,kept_neologism,,Accelerat:S:0/1,
WAKFU,en,accelerating,accelerating,corpus_only,corpus_aff_form,False,"Monster.name.5559, Monster.name.1787",Monster:name,False,True,False,False,Accelerat,,,,,,,Accelerat:S:0/1,Accelerat
WAKFU,en,Acceleratring,acceleratring,tb_only,tb_filtered_base,True,Item.name.20399,Item:name,True,False,False,False,Acceleratring,,,,,kept_neologism,,,
WAKFU,en,Acerola,acerola,tb_only,tb_filtered_base,True,Ambience Zone.name.2058,Ambience Zone:name,True,False,False,False,Acerola,,,,,kept_neologism,,,
WAKFU,en,Acey,acey,tb_only,tb_filtered_base,True,Item.name.15125 | Item.name.21133,Item:name,True,False,False,False,Acey,,,,,kept_neologism,,,
WAKFU,en,Ackordyon,ackordyon,tb_only,tb_filtered_base,True,"Item.name.25890, Item.name.25889, Item.name.25891",Item:name,True,False,False,False,Ackordyon,,,,,kept_neologism,,,
WAKFU,en,Aconitoids,aconitoids,tb_only,tb_filtered_base,True,Monster.name.3992,Monster:name,True,False,False,False,Aconitoids,,,,,kept_neologism,,,
WAKFU,en,Acown,acown,tb_only,tb_filtered_base,True,Item.name.15071,Item:name,True,False,False,False,Acown,,,,,kept_neologism,,,
WAKFU,en,Acu,acu,tb_only,tb_filtered_base,True,"Item.name.9605, Item.name.9608, Item.name.9607, Item.name.17793, Item.name.9343, Item.name.9606",Item:name,True,False,False,False,Acu,,,,,kept_neologism,,,
WAKFU,en,Adal,adal,tb_only,tb_filtered_base,True,"Achievement.achievement name.646 | Monster.name.5413 | State.name.2932, Item.name.18616",Achievement:achievement name,True,False,False,False,Adal,,,,,kept_neologism,,,
WAKFU,en,Adamai,adamai,tb_only,tb_filtered_base,True,Item.name.25024 | Item.name.30733 | Item.name.31134 | Item.name.31138,Item:name,True,False,False,False,Adamai,,,,,kept_neologism,,,
WAKFU,en,Adelus,adelus,tb_only,tb_filtered_base,True,Item.name.10052,Item:name,True,False,False,False,Adelus,,,,,kept_neologism,,,
WAKFU,en,Adertal,adertal,tb_only,tb_filtered_base,True,Item.name.26326,Item:name,True,False,False,False,Adertal,,,,,kept_neologism,,,
WAKFU,en,Admihurl,admihurl,tb_only,tb_filtered_base,True,"Item_set.name.431, Item.name.15062",Item_set:name,True,False,False,False,Admihurl,,,,,kept_neologism,,,
WAKFU,en,Adonni,adonni,tb_only,tb_filtered_base,True,Monster.name.3702,Monster:name,True,False,False,False,Adonni,,,,,kept_neologism,,,
WAKFU,en,Adoussur,adoussur,tb_only,tb_filtered_base,True,"Item.name.23092, Item.name.23093, Item.name.16062",Item:name,True,False,False,False,Adoussur,,,,,kept_neologism,,,
WAKFU,en,Aer'rune,aer'rune,tb_only,tb_filtered_base,True,State.name.4067 | State.name.5374,State:name,True,False,False,False,Aer'rune,,,,,kept_neologism,,,
WAKFU,en,Aerafal,aerafal,tb_only,tb_filtered_base,True,"Item.name.23973, Item.name.23974 | Item.name.24211",Item:name,True,False,False,False,Aerafal,,,,,kept_neologism,,,
WAKFU,en,Aerio,aerio,tb_only,tb_filtered_base,True,"Item.name.30204, Item.name.30203, Item.name.30202",Item:name,True,False,False,False,Aerio,,,,,kept_neologism,,,
WAKFU,en,Aero-Pig,aero-pig,tb_only,tb_filtered_base,True,State.name.5629,State:name,True,False,False,False,Aero-Pig,,,,,kept_neologism,,,
WAKFU,en,Aeroboots,aeroboots,tb_only,tb_filtered_base,True,Item.name.11306,Item:name,True,False,False,False,Aeroboots,,,,,kept_neologism,,,
WAKFU,en,Aerocape,aerocape,tb_only,tb_filtered_base,True,Item.name.11302,Item:name,True,False,False,False,Aerocape,,,,,kept_neologism,,,
WAKFU,en,Aerohat,aerohat,tb_only,tb_filtered_base,True,Item.name.11298,Item:name,True,False,False,False,Aerohat,,,,,kept_neologism,,,
WAKFU,en,Aeropaulettes,aeropaulettes,tb_only,tb_filtered_base,True,Item.name.11310,Item:name,True,False,False,False,Aeropaulettes,,,,,kept_neologism,,,
WAKFU,en,Aesof,aesof,tb_only,tb_filtered_base,True,Item.name.14540,Item:name,True,False,False,False,Aesof,,,,,kept_neologism,,,
WAKFU,en,Aficahpe,aficahpe,tb_only,tb_filtered_base,True,"Item.name.29230, Item.name.29229",Item:name,True,False,False,False,Aficahpe,,,,,kept_neologism,,,
WAKFU,en,Afterhere,afterhere,tb_only,tb_filtered_base,True,Monster.name.4483,Monster:name,True,False,False,False,Afterhere,,,,,kept_neologism,,,
WAKFU,en,Agatank,agatank,tb_only,tb_filtered_base,True,"Monster.name.4663, Monster.name.4650, Monster.name.5228 | Monster.name.5201",Monster:name,True,False,False,False,Agatank,,,,,kept_neologism,,,
WAKFU,en,Agathie,agathie,tb_only,tb_filtered_base,True,Monster.name.4454,Monster:name,True,False,False,False,Agathie,,,,,kept_neologism,,,
WAKFU,en,Agilish,agilish,tb_only,tb_filtered_base,True,Item.name.3026,Item:name,True,False,False,False,Agilish,,,,,kept_neologism,,,
WAKFU,en,Aging,aging,tb_only,tb_filtered_base,True,State.name.1003 | State.name.1004,State:name,True,False,False,False,Aging,,,,,kept_neologism,,,
WAKFU,en,Agiots,agiots,tb_only,tb_filtered_base,True,"Item.name.18552, Item.name.22664",Item:name,True,False,False,False,Agiots,,,,,kept_neologism,,,
WAKFU,en,Agis,agis,tb_only,tb_filtered_base,True,"Item.name.23664, Item.name.15040",Item:name,True,False,False,False,Agis,,,,,kept_neologism,,,
WAKFU,en,Agonizing,agonizing,tb_only,tb_filtered_base,True,"Item_set.name.619, Item.name.24739 | State.name.6555",Item_set:name,True,False,False,False,Agonizing,,,,,kept_neologism,,,
WAKFU,en,Agride,agride,tb_only,tb_filtered_base,True,"Item.name.25404, Item.name.10263, Item.name.25405",Item:name,True,False,False,False,Agride,,,,,kept_neologism,,,
WAKFU,en,Agua,agua,tb_only,tb_filtered_base,True,Item.name.11415,Item:name,True,False,False,False,Agua,,,,,kept_neologism,,,
WAKFU,en,Aguabrial,aguabrial,tb_only,tb_filtered_base,True,"Achievement.achievement name.4829 | Ambience Zone.name.1144 | InteractiveElementView.name.2149, State.name.6249, Monster.name.1723, Monster.name.5165, Monster.name.5258 | Item.name.11416 | Item.name.11420 | Item.name.13680 | Item.name.23968, State.name.6247, Item.name.23967 | Item.name.27312 | Item.name.27317 | Item.name.27319 | Item.name.27889 | Item.name.27922 | State.name.6251, State.name.6253",Achievement:achievement name,True,False,False,False,Aguabrial,,,,,kept_neologism,,,
WAKFU,en,Aguatak,aguatak,tb_only,tb_filtered_base,True,Spell.name.2601,Spell:name,True,False,False,False,Aguatak,,,,,kept_neologism,,,
WAKFU,en,Aguattack,aguattack,tb_only,tb_filtered_base,True,Spell.name.6899,Spell:name,True,False,False,False,Aguattack,,,,,kept_neologism,,,
WAKFU,en,Ahabar,ahabar,tb_only,tb_filtered_base,True,Item.name.18193 | Membre de clan.name.231 | Monster.name.2978,Item:name,True,False,False,False,Ahabar,,,,,kept_neologism,,,
WAKFU,en,Ahmlait,ahmlait,tb_only,tb_filtered_base,True,Item.name.10715,Item:name,True,False,False,False,Ahmlait,,,,,kept_neologism,,,
WAKFU,en,Ahr,ahr,tb_only,tb_filtered_base,True,"Monster.name.2986, Quizz Dialog.quizz illustration name.6275, Quizz Dialog.quizz illustration name.6274",Monster:name,True,False,False,False,Ahr,,,,,kept_neologism,,,
WAKFU,en,Ai-Zen,ai-zen,tb_only,tb_filtered_base,True,"Item.name.27475, Item.name.27473, Item.name.27474",Item:name,True,False,False,False,Ai-Zen,,,,,kept_neologism,,,
WAKFU,en,Ailleymen,ailleymen,tb_only,tb_filtered_base,True,Item.name.20475,Item:name,True,False,False,False,Ailleymen,,,,,kept_neologism,,,
