token,token_lower,tb_key,status,match_type
1-2-3,1-2-3,Spell.name.3669,kept_neologism,
A-changing,a-changing,State.name.5851,kept_neologism,
AAARRRGGH,aaarrrggh,"Spell.name.5712, Spell.name.5733 | State.name.1885",kept_neologism,
AGUA,agua,,removed_known_word,dictionary_form
AIRE,aire,,removed_known_word,dictionary_form
Aaarrrggh,aaarrrggh,"Spell.name.5712, Spell.name.5733 | State.name.1885",kept_neologism,
Ababor,ababor,Ambience Zone.name.1993,kept_neologism,
Abajo,abajo,,removed_known_word,dictionary_form
Abal,abal,Item.name.10140,kept_neologism,
Abalanzarse,abalanzarse,,removed_known_word,dictionary_form
Abandonada,abandonada,,removed_known_word,dictionary_form
Abandonado,abandonado,,removed_known_word,dictionary_form
Abandonar,abandonar,,removed_known_word,dictionary_form
Abandono,abandono,,removed_known_word,dictionary_form
Abanico,abanico,,removed_known_word,dictionary_form
Abastecedor,abastecedor,,removed_known_word,dictionary_form
Abastecedora,abastecedora,,removed_known_word,dictionary_form
Abatimiento,abatimiento,,removed_known_word,dictionary_form
Abedul,abedul,,removed_known_word,dictionary_form
Abedul's,abedul's,Achievement.achievement name.266,kept_neologism,
Abedulus,abedulus,Item.name.10138,kept_neologism,
Abejas,abejas,,removed_known_word,dictionary_form
Abel,abel,,removed_known_word,dictionary_form
Abella,abella,Item.name.14397 | Krosmaster Arena Figurines.name.29,kept_neologism,
Abeto,abeto,,removed_known_word,dictionary_form
Abierta,abierta,,removed_known_word,dictionary_form
Abierto,abierto,,removed_known_word,dictionary_form
Abisal,abisal,,removed_known_word,dictionary_form
Abisales,abisales,,removed_known_word,dictionary_form
Abismos,abismos,,removed_known_word,dictionary_form
Abnegación,abnegación,,removed_known_word,dictionary_form
Abnegado,abnegado,,removed_known_word,dictionary_form
Abnegados,abnegados,,removed_known_word,dictionary_form
Abominable,abominable,,removed_known_word,dictionary_form
Abominación,abominación,,removed_known_word,dictionary_form
Abono,abono,,removed_known_word,dictionary_form
Abordaje,abordaje,,removed_known_word,dictionary_form
Abosotargado,abosotargado,"Monster.name.5239, Monster.name.5340",kept_neologism,
Abra,abra,,removed_known_word,dictionary_form
Abrakapa,abrakapa,"Item.name.25737, Item.name.25735, Item.name.25738, Item.name.25736, Item.name.23600, Item.name.23601 | Item.name.9681",kept_neologism,
Abrakasco,abrakasco,"Item.name.25779, Item.name.23615, Item.name.25778, Item.name.25780 | Item.name.26694 | Item.name.9682",kept_neologism,
Abrakhancletas,abrakhancletas,"Item.name.23606, Item.name.25747, Item.name.25749, Item.name.25748 | Item.name.9680",kept_neologism,
Abrakllota,abrakllota,"Achievement.achievement name.3969 | Monster.name.4643, Monster.name.4077",kept_neologism,
Abrakna,abrakna,"Achievement.achievement name.3629 | Achievement.achievement name.3630 | Achievement.achievement name.3631 | Achievement.achievement name.3632 | Achievement.achievement name.3664 | Achievement.achievement name.3665 | Achievement.achievement name.3666 | Item.name.30035 | Territory_Zone.name.76701, Dungeon.dungeon name.125, Ambience Zone.name.1631, Instance.instance name.1091",kept_neologism,
Abraknación,abraknación,"Spell.name.5807, Spell.name.6347, Spell.name.6353",kept_neologism,
Abraknela,abraknela,Achievement.achievement name.4068 | Achievement.achievement name.4146 | Achievement.achievement name.4599 | Item.name.20675 | Item.name.22150 | Monster.name.4107,kept_neologism,
Abraknicha,abraknicha,Item.name.14857,kept_neologism,
Abraknillo,abraknillo,"Item.name.23602, Item.name.25740, Item.name.25739, Item.name.25741, Item.name.23603, Item.name.25742 | Item.name.4146",kept_neologism,
Abrakno,abrakno,Achievement.achievement name.2970 | Item.name.20651 | Item.name.20656 | Item.name.20670 | Item.name.20671 | Monster.name.5109 | Resource.name.626,kept_neologism,
Abraknolimpieza,abraknolimpieza,Spell.name.6090,kept_neologism,
Abraknos,abraknos,"Monster_type.name.828, Monster_type.name.829",kept_neologism,
Abraknydi,abraknydi,"Item.name.25785, Item.name.25786, Item.name.25784, Item.name.9377, Item.name.11241, Item.name.23617",kept_neologism,
Abraknídea,abraknídea,State.name.4844,kept_neologism,
Abrakobama,abrakobama,Spell.name.3476,kept_neologism,
Abrakombreras,abrakombreras,"Item.name.25743, Item.name.23604, Item.name.25744, Item.name.23605, Item.name.25745, Item.name.25746 | Item.name.9683",kept_neologism,
Abrakoraza,abrakoraza,"Item.name.25751, Item.name.25753, Item.name.25750, Item.name.23607, Item.name.25752, Item.name.23608 | Item.name.9401",kept_neologism,
