game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
WAKFU,fr,1ère,1ère,tb_only,tb_filtered_base,True,"Achievement.achievement name.2773, Achievement.achievement name.2774 | Item.name.14113",Achievement:achievement name,True,False,False,False,1ère,,,,,kept_neologism,,,
WAKFU,fr,2ème,2ème,tb_only,tb_filtered_base,True,"Achievement.achievement name.2781, Achievement.achievement name.2782 | Achievement.achievement name.2787 | Item.name.14114 | Zaap.boat name.32347, Zaap.boat name.32345",Achievement:achievement name,True,False,False,False,2ème,,,,,kept_neologism,,,
WAKFU,fr,3ème,3ème,tb_only,tb_filtered_base,True,"Achievement.achievement name.2789, Achievement.achievement name.2788 | Achievement.achievement name.2797 | Zaap.boat name.32355, Zaap.boat name.32354",Achievement:achievement name,True,False,False,False,3ème,,,,,kept_neologism,,,
WAKFU,fr,A'geuse,a'geuse,tb_only,tb_filtered_base,True,Item.name.11863,Item:name,True,False,False,False,A'geuse,,,,,kept_neologism,,,
WAKFU,fr,A'pide,a'pide,tb_only,tb_filtered_base,True,Item.name.11864,Item:name,True,False,False,False,A'pide,,,,,kept_neologism,,,
WAKFU,fr,a-changing,a-changing,tb_only,tb_filtered_base,True,State.name.5851,State:name,True,False,False,False,a-changing,,,,,kept_neologism,,,
WAKFU,fr,A-Rikton,a-rikton,tb_only,tb_filtered_base,True,Item.name.12690,Item:name,True,False,False,False,A-Rikton,,,,,kept_neologism,,,
WAKFU,fr,Aaarrrggh,aaarrrggh,tb_only,tb_filtered_base,True,State.name.1885,State:name,True,False,False,False,Aaarrrggh,,,,,kept_neologism,,,
WAKFU,fr,Ababor,ababor,tb_only,tb_filtered_base,True,Ambience Zone.name.1993,Ambience Zone:name,True,False,False,False,Ababor,,,,,kept_neologism,,,
WAKFU,fr,Abago,abago,tb_only,tb_filtered_base,True,Achievement.achievement name.3278,Achievement:achievement name,True,False,False,False,Abago,,,,,kept_neologism,,,
WAKFU,fr,abillaud,abillaud,tb_only,tb_filtered_base,True,"Item.name.30197, Item.name.30196, Item.name.30198",Item:name,True,False,False,False,abillaud,,,,,kept_neologism,,,
WAKFU,fr,abimée,abimée,tb_only,tb_filtered_base,True,Item.name.11698,Item:name,True,False,False,False,abimée,,,,,kept_neologism,,,
WAKFU,fr,Ablateuse,ablateuse,tb_only,tb_filtered_base,True,Item.name.23596,Item:name,True,False,False,False,Ablateuse,,,,,kept_neologism,,,
WAKFU,fr,abo,abo,tb_only,tb_filtered_base,True,Item.name.102 | Item.name.103 | Item.name.104,Item:name,True,False,False,False,abo,,,,,kept_neologism,,,
WAKFU,fr,Aboon,aboon,tb_only,tb_filtered_base,True,Item.name.19739 | Item.name.19740 | Item.name.28597,Item:name,True,False,False,False,Aboon,,,,,kept_neologism,,,
WAKFU,fr,Abouare,abouare,tb_only,tb_filtered_base,True,Item.name.20711,Item:name,True,False,False,False,Abouare,,,,,kept_neologism,,,
WAKFU,fr,Aboum,aboum,tb_only,tb_filtered_base,True,"Item.name.14321 | Item.name.14389 | Item.name.25988, Item.name.25986, Item.name.15278, Item.name.25987 | Krosmaster Arena Figurines.name.10",Item:name,True,False,False,False,Aboum,,,,,kept_neologism,,,
WAKFU,fr,Abra,abra,tb_only,tb_filtered_base,True,"Achievement.achievement name.4338 | Achievement.achievement name.4339 | Achievement.achievement name.4340 | Achievement.achievement name.4396 | Achievement.achievement name.4397 | Achievement.achievement name.4398 | Achievement.achievement name.4399 | Achievement.achievement name.5280 | Item_set.name.250, Item.name.12963",Achievement:achievement name,True,False,False,False,Abra,,,,,kept_neologism,,,
WAKFU,fr,Abrabranche,abrabranche,tb_only,tb_filtered_base,True,"Spell.name.5806, Spell.name.6346, Spell.name.6352",Spell:name,True,False,False,False,Abrabranche,,,,,kept_neologism,,,
WAKFU,fr,Abracape,abracape,tb_only,tb_filtered_base,True,"Item.name.25737, Item.name.25735, Item.name.25738, Item.name.25736, Item.name.23600, Item.name.23601 | Item.name.9681",Item:name,True,False,False,False,Abracape,,,,,kept_neologism,,,
WAKFU,fr,Abracasque,abracasque,tb_only,tb_filtered_base,True,"Item.name.25779, Item.name.23615, Item.name.25778, Item.name.25780 | Item.name.26694 | Item.name.9682",Item:name,True,False,False,False,Abracasque,,,,,kept_neologism,,,
